ID2,ID1,Flag,Sites corrected,ENUM,SITE,DBCODE,SITECODE,SITENAME,LONDD,LATDD,ELEVATION,POLLSUM,ABIES,ACNEGUNA,ACPENSYL,ACRUBRUM,ACSACNUM,ACSACRUM,ACERX,ALCRISPA,ALRUBRA,ALRUGOSA,ALNUSX,AMBROSIA,AMORPHA,ANACARDI,APIACEAE,AQUIFOLI,ARCEUTHOBI,ARECACEAE,ARMERIA,ARTEMISIA,ASTERX,ASTERCICHO,BETULA,BORAGINACEAE,BOTRYCHIUM,BRASSICACEAE,CACTACEAE,CAMPANULACEA,CAPRIFOLIA,CARYA,CARYOPHYLL,CASTANEA,CEANOTHUS,CELTIS,CEPHALANTH,CERCOCAR,CHENOAMX,CHRYSOLEP,CORNUS,CORYLUS,CUPRESSA,CYPERACE,DODECATH,DRYAS,ELAEAGNX,EPHEDRA,EQUISETU,ERILEDCH,ERIVACCI,ERICACEX,ERICALES,ERIOGONUM,EUPHORB,FABACEAE,FAGUS,FRAXNIGR,FRAXPNAM,FRAXINUX,IVA,JUGCINER,JUGNIGRA,JUGLANSX,KOENISLD,LAMIACEAE,LARIXPSEU,LARREA,LILIACEAE,LIQUIDAM,LIRIODEN,LYCOANNO,LYCOCLAV,LYCOCOMP,LYCOSELA,LYCOPODX,MAGNOLIACE,MALVACEAE,MORACEAX,MYRICACX,NYSSA,ONAGRACEAE,OSMUNDACEA,OSTRYCAR,OXYRIA,PAPAVERX,PEDICULARI,PICGLAUC,PICMARIA,PICEAX,PINDIPLO,PINHAPLO,PINUSX,PLANTAGINX,PLATANUS,POACEAE,POLEMONI,POLYGONAX,POLYGBIS,POLYGONMX,POLYGVIV,POLYPOD,POPULUS,POTENTILLA,PROSOPIS,PTERIDIUM,QUERCUS,RANUNCUL,RHAMNACEAE,ROSACEAX,RUBIACEAE,RUBUS,RUMEX,RUMEOXYR,SALIX,SANGUI,SARCOBATUS,SXFRACER,SXFRAHIE,SXFRAOPP,SXFRATRI,SXFRAGAX,SCROPHUL,SELAGINE,SHEPHERDIA,SPHAGNUM,TAXODIUM,TAXUS,THALICTRUM,TILIA,TSUGHETE,TSUGMERT,TSUGAX,ULMUS,URTICACX,XANTHIUM,KGDISCR,DepEnv,DescrEnv,DataForm,COLLECTOR,YrOfSamp,DepthAtLoc,princInvest,YrOfPubl,AuthYr,Citation,Notes
,1122,5,16,1768,68,GPD1122,G1319,Deer Lake Bog,-71.829,44.0238,1432,930,22,0,0,2,1,9,0,0,0,0,4,19,0,0,0,0,0,0,0,1,9,0,146,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1,16,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,1,4,0,0,0,0,0,5,1,11,38,2,0,428,0,0,0,0,0,134,1,0,0,0,15,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12,5,0,0,TMOS,TMOS,moss polster,RC,"Spear,Ray W.",,,"Spear,Ray W.",1981,"Spear, R.W. 1981. ","Spear, R.W. 1981. The history of high-elevation vegetation in the White Mountains of New Hampshire. Dissertation. University of Minnesota, Minneapolis, Minnesota, USA.",B. Shuman changed based on comparing table in Spear (1989) with USGS topo map
,1123,5,17,1769,68,GPD1123,G1320,Deer Lake Bog,-71.8331,44.0238,1410,475,17,0,0,2,0,6,0,0,0,0,20,12,0,0,0,0,0,0,0,0,0,0,170,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,73,1,1,0,0,0,0,0,0,0,2,0,0,0,0,32,2,2,0,0,1,0,0,0,0,0,0,0,0,0,3,2,0,0,3,0,0,0,3,0,0,0,4,0,0,0,0,0,8,1,5,33,1,1,11,0,0,0,0,0,3,3,0,0,3,18,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,19,1,0,0,TMOS,TMOS,moss polster,RC,"Spear,Ray W.",,,"Spear,Ray W.",1981,"Spear, R.W. 1981. ","Spear, R.W. 1981. The history of high-elevation vegetation in the White Mountains of New Hampshire. Dissertation. University of Minnesota, Minneapolis, Minnesota, USA.",B. Shuman changed based on comparing table in Spear (1989) with USGS topo map
,1124,5,18,1770,79,GPD1124,G1321,Eagle Lake Bog,-71.644,44.1605,1524,459,11,0,0,1,0,5,0,0,0,0,9,17,0,0,0,0,0,0,0,0,1,0,199,0,0,0,0,0,0,1,3,0,0,0,0,0,1,0,0,58,2,2,0,0,0,0,0,0,0,0,0,0,0,0,14,0,6,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,2,12,0,0,0,0,0,0,0,4,0,0,0,0,0,13,0,5,23,3,0,8,0,0,0,0,0,6,7,0,0,1,18,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,8,7,0,0,TMOS,TMOS,moss polster,RC,"Spear,Ray W.",,,"Spear,Ray W.",1981,"Spear, R.W. 1981. ","Spear, R.W. 1981. The history of high-elevation vegetation in the White Mountains of New Hampshire. Dissertation. University of Minnesota, Minneapolis, Minnesota, USA.",B. Shuman changed based on comparing table in Spear (1989) with USGS topo map
,1125,5,19,1771,68,GPD1125,G1322,Deer Lake Bog,-71.8311,44.0238,1463,501,9,0,0,1,1,11,1,0,0,0,10,40,0,0,0,0,0,0,0,2,0,0,183,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,40,2,3,0,0,0,0,0,0,0,6,0,0,0,0,26,0,11,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,1,8,0,0,0,2,0,0,0,3,0,0,0,0,0,6,0,10,32,1,5,32,0,0,0,0,0,7,0,0,0,0,20,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,8,0,0,0,TMOS,TMOS,moss polster,RC,"Spear,Ray W.",,,"Spear,Ray W.",1981,"Spear, R.W. 1981. ","Spear, R.W. 1981. The history of high-elevation vegetation in the White Mountains of New Hampshire. Dissertation. University of Minnesota, Minneapolis, Minnesota, USA.",B. Shuman changed based on comparing table in Spear (1989) with USGS topo map
,1126,5,20,1772,356,GPD1126,G1323,Lake of the Clouds [New Hampshire],-71.3165,44.2706,1494,454,11,0,0,2,0,5,0,0,0,0,8,21,0,0,0,0,0,0,0,0,4,0,178,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,60,1,9,0,0,0,0,0,0,0,2,0,0,0,0,17,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,3,0,0,0,1,0,0,0,3,0,0,0,0,0,19,1,10,27,3,0,8,0,0,0,0,0,8,1,0,0,4,14,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,4,0,0,TMOS,TMOS,moss polster,RC,"Spear,Ray W.",,,"Spear,Ray W.",1981,"Spear, R.W. 1981. ","Spear, R.W. 1981. The history of high-elevation vegetation in the White Mountains of New Hampshire. Dissertation. University of Minnesota, Minneapolis, Minnesota, USA.",B. Shuman changed based on comparing table in Spear (1989) with USGS topo map
,1127,5,21,1773,68,GPD1127,G1324,Deer Lake Bog,-71.8321,44.0238,1463,540,15,0,0,2,0,5,0,0,0,0,13,41,0,0,0,0,0,0,0,1,2,0,169,0,0,0,0,0,0,1,22,0,0,0,0,0,3,0,0,54,5,9,0,0,0,0,0,0,0,3,0,0,0,0,19,2,6,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,1,3,0,0,0,2,0,0,0,2,0,0,0,0,0,4,0,5,46,2,1,28,0,0,0,0,0,13,4,0,0,0,24,0,0,5,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,0,0,TMOS,TMOS,moss polster,RC,"Spear,Ray W.",,,"Spear,Ray W.",1981,"Spear, R.W. 1981. ","Spear, R.W. 1981. The history of high-elevation vegetation in the White Mountains of New Hampshire. Dissertation. University of Minnesota, Minneapolis, Minnesota, USA.",B. Shuman changed based on comparing table in Spear (1989) with USGS topo map
,1128,5,22,1774,79,GPD1128,G1325,Eagle Lake Bog,-71.6448,44.1605,1584,492,7,0,0,1,0,6,0,0,0,0,7,17,0,0,0,0,0,0,0,1,6,0,190,0,0,0,0,0,0,1,3,0,0,0,0,0,1,0,0,28,0,1,0,0,0,0,0,0,0,4,0,0,0,0,21,0,7,0,0,1,0,0,0,0,0,0,0,0,0,3,2,0,4,5,0,0,0,0,0,0,0,3,0,0,0,0,0,13,0,5,28,0,0,97,0,0,0,0,0,5,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10,5,0,0,TMOS,TMOS,moss polster,RC,"Spear,Ray W.",,,"Spear,Ray W.",1981,"Spear, R.W. 1981. ","Spear, R.W. 1981. The history of high-elevation vegetation in the White Mountains of New Hampshire. Dissertation. University of Minnesota, Minneapolis, Minnesota, USA.",B. Shuman changed based on comparing table in Spear (1989) with USGS topo map
,1129,5,23,1775,356,GPD1129,G1326,Lake of the Clouds [New Hampshire],-71.3148,44.2706,1557,414,14,0,0,0,0,1,0,0,0,0,4,10,0,0,0,0,0,0,0,2,4,0,181,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,6,1,25,0,0,0,0,0,0,0,1,0,0,0,0,16,2,4,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,2,1,0,0,0,0,0,0,0,2,0,0,0,0,0,11,1,23,30,1,0,31,0,0,0,0,0,2,0,0,0,0,9,0,0,1,5,0,3,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,8,1,0,0,TMOS,TMOS,moss polster,RC,"Spear,Ray W.",,,"Spear,Ray W.",1981,"Spear, R.W. 1981. ","Spear, R.W. 1981. The history of high-elevation vegetation in the White Mountains of New Hampshire. Dissertation. University of Minnesota, Minneapolis, Minnesota, USA.",B. Shuman changed based on comparing table in Spear (1989) with USGS topo map
,1130,5,24,1776,79,GPD1130,G1327,Eagle Lake Bog,-74.6465,44.1605,1524,593,1,0,0,0,0,3,0,0,0,0,39,11,0,0,0,0,0,0,0,0,17,0,201,0,0,0,0,0,0,0,4,2,0,0,0,0,1,0,0,132,0,1,0,0,0,0,0,0,0,4,0,0,0,0,44,1,1,0,0,1,0,0,0,0,0,0,0,0,0,9,2,2,4,5,0,0,0,0,0,0,1,1,0,0,0,0,0,14,0,1,28,1,0,8,0,0,0,0,0,9,0,0,0,4,7,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,19,7,0,0,TMOS,TMOS,moss polster,RC,"Spear,Ray W.",,,"Spear,Ray W.",1981,"Spear, R.W. 1981. ","Spear, R.W. 1981. The history of high-elevation vegetation in the White Mountains of New Hampshire. Dissertation. University of Minnesota, Minneapolis, Minnesota, USA.",B. Shuman changed based on comparing table in Spear (1989) with USGS topo map
,1131,5,25,1777,356,GPD1131,G1328,Lake of the Clouds [New Hampshire],-71.2932,44.2706,1676,483,5,0,0,0,0,2,0,0,0,0,5,7,0,0,0,0,0,0,0,0,6,0,164,0,0,0,0,0,0,2,5,1,0,0,0,0,1,0,0,83,0,10,0,0,0,0,0,0,0,2,0,0,0,0,30,0,6,0,0,1,0,0,0,0,0,0,0,0,0,16,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,4,37,1,0,15,0,0,0,0,0,12,0,0,0,4,8,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,3,0,0,TMOS,TMOS,moss polster,RC,"Spear,Ray W.",,,"Spear,Ray W.",1981,"Spear, R.W. 1981. ","Spear, R.W. 1981. The history of high-elevation vegetation in the White Mountains of New Hampshire. Dissertation. University of Minnesota, Minneapolis, Minnesota, USA.",B. Shuman changed based on comparing table in Spear (1989) with USGS topo map
,1132,5,26,1778,79,GPD1132,G1329,Eagle Lake Bog,-71.6448,44.1605,1584,441,7,0,0,3,0,8,0,0,0,0,26,12,0,0,0,1,0,0,0,1,3,0,192,0,0,0,0,0,0,0,22,0,0,0,0,0,1,0,0,26,4,3,0,0,0,0,0,0,0,2,0,0,0,0,6,3,8,0,0,2,0,0,0,0,0,0,0,0,0,1,2,0,0,3,0,0,0,2,0,0,0,1,0,0,0,0,0,8,0,3,28,0,2,9,0,0,0,0,0,2,6,0,0,1,17,0,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,17,2,0,0,TMOS,TMOS,moss polster,RC,"Spear,Ray W.",,,"Spear,Ray W.",1981,"Spear, R.W. 1981. ","Spear, R.W. 1981. The history of high-elevation vegetation in the White Mountains of New Hampshire. Dissertation. University of Minnesota, Minneapolis, Minnesota, USA.",B. Shuman changed based on comparing table in Spear (1989) with USGS topo map
,1133,5,27,1779,356,GPD1133,G1330,Lake of the Clouds [New Hampshire],-71.3047,44.2706,1905,396,10,0,0,0,0,4,0,0,0,0,8,9,0,0,0,0,0,0,0,0,0,0,170,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,20,2,11,0,0,0,0,0,0,0,0,0,0,0,0,22,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,7,0,3,29,1,2,11,0,0,0,0,0,0,1,0,0,0,25,0,0,6,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,16,15,0,0,TMOS,TMOS,moss polster,RC,"Spear,Ray W.",,,"Spear,Ray W.",1981,"Spear, R.W. 1981. ","Spear, R.W. 1981. The history of high-elevation vegetation in the White Mountains of New Hampshire. Dissertation. University of Minnesota, Minneapolis, Minnesota, USA.",B. Shuman changed based on comparing table in Spear (1989) with USGS topo map
,1134,5,28,1780,356,GPD1134,G1331,Lake of the Clouds [New Hampshire],-71.3047,44.2706,1905,446,11,0,0,2,0,4,2,0,0,0,12,45,0,0,0,0,0,0,0,3,2,0,192,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,3,4,5,0,0,0,0,0,0,0,0,0,0,0,0,14,2,12,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,16,1,3,29,1,1,24,0,0,0,0,0,0,7,0,0,2,19,0,3,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,TMOS,TMOS,moss polster,RC,"Spear,Ray W.",,,"Spear,Ray W.",1981,"Spear, R.W. 1981. ","Spear, R.W. 1981. The history of high-elevation vegetation in the White Mountains of New Hampshire. Dissertation. University of Minnesota, Minneapolis, Minnesota, USA.",B. Shuman changed based on comparing table in Spear (1989) with USGS topo map
,1135,5,,1782,1505,GPD1135,G1333,Red Pond,-71.35,44.25,1350,381,14,0,0,0,0,4,0,0,0,0,5,9,0,0,0,0,0,0,0,0,0,0,176,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,25,0,2,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,29,2,8,19,0,0,10,0,0,0,0,0,9,0,0,0,4,13,0,0,2,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,20,2,0,0,LACU,LACU,lacustrine,RC,"Spear,Ray W.",,,"Spear,Ray W.",1981,"Spear, R.W. 1981. ","Spear, R.W. 1981. The history of high-elevation vegetation in the White Mountains of New Hampshire. Dissertation. University of Minnesota, Minneapolis, Minnesota, USA.",
,1967,5,,3126,302,GPD1967,G2665,South Soefje Bog,-97.517,29.6,97,205,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,8,0,0,20,0,0,0,0,0,0,0,0,0,8,0,0,90,0,1,0,0,0,0,0,0,0,0,24,0,0,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,UNKN,UNKN,Unknown,RC,"Graham,A. K.",,,"Graham,A. K.",1960,"Graham, A.K., and C. Heimsch. 1960. ","Graham, A.K., and C. Heimsch. 1960. Pollen studies of some Texas peat deposits. Ecology 41:751-763.",
