"ID2","LONDD","LATDD","ELEVATION","Tann"
198,-81.332,27.234,45,223
199,-83.195,30.642,58,NA
200,-64.94,48.198,116,NA
201,-65.95,48.967,915,NA
202,-66.125,48.911,494,NA
203,-71.717,58.867,250,NA
204,-65.839,48.238,65,NA
205,-72.067,58.233,200,NA
206,-72,48.5,97,NA
207,-155.033,67.683,460,NA
208,-146.483,68.333,881,-117
209,-156.033,68.133,631,NA
210,-155.033,66.917,122,NA
211,-156.45,66.967,213,NA
212,-153.9,67.133,820,NA
213,-155.05,67.933,820,NA
214,-153.65,67.147,820,NA
215,-154.233,67.067,210,NA
216,-147.85,67.433,640,-91
217,-145.217,68.267,637,-123
218,-157.217,66.767,183,NA
219,-143.15,66.583,189,-71
220,-142.067,67.2,211,-87
221,-152.6,67.25,914,NA
222,-151.267,64.333,305,NA
223,-151.083,63.483,610,NA
224,-145.7,63.067,1000,-57
225,-110.6,44.956,2012,NA
226,-110.567,64.117,480,NA
227,-110.583,64.133,480,NA
228,-119.483,56.767,1050,NA
229,-83.254,30.622,34,NA
230,-84.249,30.522,40,NA
231,-75.25,58.583,170,NA
232,-75.25,55.092,244,NA
233,-75.017,55.833,305,NA
234,-75.067,55.413,285,NA
235,-75.7,55.067,235,NA
236,-74.933,55.25,335,NA
237,-75.95,55.117,255,NA
238,-76.39,57.113,190,NA
239,-76.378,57.117,210,NA
240,-76.405,57.123,250,NA
241,-76.415,57.123,250,NA
242,-76.408,57.125,260,NA
243,-73.517,55,395,NA
244,-73.562,55,395,NA
245,-73.542,55.002,400,NA
246,-73.517,55.003,395,NA
247,-73.55,55,395,NA
248,-73.558,55.002,395,NA
249,-73.545,55.003,395,NA
250,-66.767,54.767,505,NA
251,-66.767,54.767,505,NA
252,-66.767,54.767,505,NA
253,-74.945,56.023,260,NA
254,-74.975,56.02,280,NA
255,-75.25,55.117,325,NA
256,-66.8,54.8,579,NA
257,-66.8,54.8,579,NA
258,-66.8,54.8,579,NA
259,-74.583,55.625,320,NA
260,-74.6,55.617,320,NA
261,-75.255,58.585,170,NA
262,-74.913,59.14,120,NA
263,-74.95,59.158,117,NA
264,-66.733,54.767,503,NA
265,-74.9,56.943,300,NA
266,-77.717,55.283,84,NA
267,-77.718,55.287,99,NA
268,-77.703,55.292,99,NA
269,-77.7,55.292,99,NA
270,-77.7,55.295,99,NA
271,-66.75,54.767,518,NA
272,-76.305,57.758,120,NA
273,-76.11,57.725,120,NA
274,-117.217,52.242,2355,NA
275,-71.575,41.158,28,NA
276,-75.617,57.917,200,NA
277,-93.734,44.296,310,NA
278,-93.5,44.706,281,NA
279,-93.62,44.471,312,NA
280,-93.341,44.711,280,NA
281,-93.433,44.627,287,NA
282,-93.1,44.875,285,NA
283,-113.65,48.8,1463,NA
284,-113.567,48.833,1463,NA
285,-113.45,48.85,1372,NA
286,-113.367,48.833,1463,NA
287,-113.3,48.85,1585,NA
288,-113.25,48.85,1524,NA
289,-113.167,48.767,1433,NA
290,-113.117,48.717,1524,NA
291,-113.117,48.55,1433,NA
292,-113.017,48.617,1402,NA
293,-112.967,48.533,1402,NA
294,-112.75,48.583,1280,NA
295,-112.183,48.733,1098,NA
296,-111.917,48.75,1037,NA
297,-111.7,48.75,1037,NA
298,-111.417,48.75,1067,NA
299,-111.267,48.883,1250,NA
300,-111.117,48.917,1341,NA
301,-111.033,48.883,1341,NA
302,-110.983,48.95,1037,NA
303,-110.883,48.883,1037,NA
304,-110.5,48.883,945,NA
305,-110.117,48.8,823,NA
306,-109.867,48.9,854,NA
307,-109.617,48.75,823,NA
308,-108.95,48.867,1067,NA
309,-108.667,48.867,976,NA
310,-108.467,48.867,915,NA
311,-108.133,48.917,854,NA
312,-107.783,48.833,854,NA
313,-107.583,48.75,793,NA
314,-107.283,48.733,854,NA
315,-107.083,48.8,793,NA
316,-106.8,48.883,793,NA
317,-106.533,48.883,945,NA
318,-106.233,48.867,945,NA
319,-103.167,47.8,701,NA
320,-102.7,47.967,671,NA
321,-102.033,47.967,640,NA
322,-101.733,47.967,640,NA
323,-101.217,47.967,640,NA
324,-127.5,66.167,125,-74
325,-126.167,65.833,356,-79
326,-128.167,65.75,103,-70
327,-123.5,64.833,220,-67
328,-122.7,64.417,239,-61
329,-123.5,64.4,353,-66
330,-122.233,62.333,589,-57
331,-120.433,63.817,293,-59
332,-122.617,63.883,452,-66
333,-122.967,62.75,239,-47
334,-122.967,63.217,435,-58
335,-122.733,63.617,347,-59
336,-121.05,62.167,338,-46
337,-114.35,62.433,181,NA
338,-120.05,61.2,276,-32
339,-116.2,60.583,260,NA
340,-116.75,55.633,622,NA
341,-114.667,55.25,584,NA
342,-113.667,55.083,642,NA
343,-112.75,54.5,704,NA
344,-111.167,54.333,585,NA
345,-114.833,51.8,1206,NA
346,-117.767,53.267,1113,NA
347,-117.133,53.583,1054,NA
348,-116.1,53.6,908,NA
349,-116.833,54.45,783,NA
350,-117.5,55.083,688,NA
351,-115.667,54.467,1037,NA
352,-117.5,57.5,655,NA
353,-111.333,53.933,639,NA
354,-114.167,53.55,726,NA
355,-117.9,52.7,1238,NA
356,-116.167,52.45,1395,NA
357,-116.417,51.667,2225,NA
358,-115.333,51.25,1415,NA
359,-114.25,49.567,1202,NA
360,-110.717,52.083,730,NA
361,-110.4,51.45,766,NA
362,-112.167,51.367,914,NA
363,-111.083,49.917,833,NA
364,-112.417,49.8,820,NA
365,-114.167,51.167,1203,NA
366,-70.208,41.283,6,NA
367,-93.35,43.15,374,NA
368,-119.008,37.596,2816,NA
369,-119.068,37.663,2438,NA
370,-109.517,42.317,2043,NA
371,-109.033,42.3,2134,NA
372,-108.867,42.45,2439,NA
373,-108.717,42.55,2500,NA
374,-108.5,42.95,1524,NA
375,-108.117,43.367,1494,NA
376,-108.183,43.467,1524,NA
377,-108.117,43.8,1235,NA
378,-107.533,44.017,1402,NA
379,-107.25,44.167,2439,NA
380,-107.133,44.167,2866,NA
381,-106.933,44.317,2256,NA
382,-106.733,44.333,1524,NA
383,-105.533,44.283,1387,NA
384,-105.167,44.267,1372,NA
385,-104.917,44.3,1280,NA
386,-104.183,44.533,1220,NA
387,-103.717,44.333,1738,NA
388,-103.417,44.417,976,NA
389,-102.85,44.517,793,NA
390,-102.45,44.583,854,NA
391,-102.067,44.667,762,NA
392,-102,45.033,793,NA
393,-102,45.033,793,NA
