ID2_W05v1_6,LONDD,LATDD,AbieEast,AbieWest,AcerEast,AcerWest,AlnuEast,AlnuWest,CeltEast,CeltWest,ChAmFlor,ChAmMid,CupXEast,CupXWest,FraxEast,FraxWest,Larix,LarixPse,PicEast,PicWest,PinEast,PinNE,PinSE,PinWest,QuerEast,QuerWest,TsugEast,TsugWest
68,-85.717,37.45,1,,1,,1,,1,,,1,1,,1,,,0,1,,1,1,,,1,,1,0
69,-92.717,46.417,1,,1,,1,,1,,,1,1,,1,,1,0,1,,1,1,,,1,,1,0
70,-92.62,46.72,1,,1,,1,,1,,,1,1,,1,,1,0,1,,1,1,,,1,,1,0
71,-70.3,46.717,1,,1,,1,,1,,,1,1,,1,,1,0,1,,1,1,,,1,,1,0
72,-67.5,54.8,1,,1,,1,,,,,1,1,,1,,1,0,1,,1,1,,,1,,,0
73,-73.331,45.964,1,,1,,1,,1,,,1,1,,1,,1,0,1,,1,1,,,1,,1,0
74,-84.783,45.067,1,,1,,1,,1,,,1,1,,1,,1,0,1,,1,1,,,1,,1,0
75,-89.9,46.25,1,,1,,1,,1,,,1,1,,1,,1,0,1,,1,1,,,1,,1,0
76,-81.317,48.4,1,,1,,1,,1,,,1,1,,1,,1,0,1,,1,1,,,1,,1,0
77,-73.217,46,1,,1,,1,,1,,,1,1,,1,,1,0,1,,1,1,,,1,,1,0
78,-93.6,47.283,1,,1,,1,,1,,,1,1,,1,,1,0,1,,1,1,,,1,,1,0
79,-66.717,45.144,1,,1,,1,,1,,,1,1,,1,,1,0,1,,1,1,,,1,,1,0
80,-91.483,45.283,1,,1,,1,,1,,,1,1,,1,,1,0,1,,1,1,,,1,,1,0
81,-83.258,30.725,,,1,,1,,1,,1,,1,,1,,,0,,,1,,1,,1,,1,0
82,-73.303,45.992,1,,1,,1,,1,,,1,1,,1,,1,0,1,,1,1,,,1,,1,0
83,-101.233,62.633,1,,1,,1,,,,,1,,,1,,1,0,1,,1,1,,,1,,,0
84,-80.66,43.225,1,,1,,1,,1,,,1,1,,1,,1,0,1,,1,1,,,1,,1,0
85,-71.423,47.078,1,,1,,1,,1,,,1,1,,1,,1,0,1,,1,1,,,1,,1,0
86,-94.933,47.183,1,,1,,1,,1,,,1,1,,1,,1,0,1,,1,1,,,1,,1,0
87,-64.833,56.783,1,,1,,1,,,,,1,1,,1,,1,0,1,,1,1,,,1,,,0
88,-71.433,41.783,1,,1,,1,,1,,,1,1,,1,,1,0,1,,1,1,,,1,,1,0
89,-89.417,43.1,1,,1,,1,,1,,,1,1,,1,,1,0,1,,1,1,,,1,,1,0
90,-89.417,43.1,1,,1,,1,,1,,,1,1,,1,,1,0,1,,1,1,,,1,,1,0
91,-75.507,45.4,1,,1,,1,,1,,,1,1,,1,,1,0,1,,1,1,,,1,,1,0
92,-73.283,41.817,1,,1,,1,,1,,,1,1,,1,,1,0,1,,1,1,,,1,,1,0
93,-69.3,43.767,1,,1,,1,,1,,,1,1,,1,,1,0,1,,1,1,,,1,,1,0
94,-58.05,52.267,1,,1,,1,,,,,1,1,,1,,1,0,1,,1,1,,,1,,,0
95,-68.639,44.628,1,,1,,1,,1,,,1,1,,1,,1,0,1,,1,1,,,1,,1,0
96,-81.867,29.3,,,1,,1,,1,,1,,1,,1,,,0,,,1,,1,,1,,,0
97,-93.383,47.983,1,,1,,1,,1,,,1,1,,1,,1,0,1,,1,1,,,1,,1,0
98,-61.817,56.533,1,,1,,1,,,,,1,1,,1,,1,0,1,,1,1,,,1,,,0
99,-95.386,34.663,,,1,,1,,1,,,1,1,,1,,,0,,,1,,1,,1,,,0
100,-103.483,61.583,1,,,,1,,,,,1,,,1,,1,0,1,,1,1,,,1,,,0
101,-81.5,46.6,1,,1,,1,,1,,,1,1,,1,,1,0,1,,1,1,,,1,,1,0
102,-79.467,46.45,1,,1,,1,,1,,,1,1,,1,,1,0,1,,1,1,,,1,,1,0
103,-73.05,42.65,1,,1,,1,,1,,,1,1,,1,,1,0,1,,1,1,,,1,,1,0
104,-60.167,53.517,1,,1,,1,,,,,1,1,,1,,1,0,1,,1,1,,,1,,,0
105,-95.2,43.333,1,,1,,1,,1,,,1,1,,1,,,0,1,,1,1,,,1,,1,0
106,-94.4,46.35,1,,1,,1,,1,,,1,1,,1,,1,0,1,,1,1,,,1,,1,0
107,-77.5081,40.7918,1,,1,,1,,1,,,1,1,,1,,1,0,1,,1,1,1,,1,,1,0
108,-57.75,53.05,1,,1,,1,,,,,1,1,,1,,1,0,1,,1,1,,,1,,,0
109,-71.45,41.517,1,,1,,1,,1,,,1,1,,1,,1,0,1,,1,1,,,1,,1,0
110,-97.2708,45.5025,1,,1,,1,,1,,,1,1,,1,,1,0,1,,1,1,,,1,,1,0
111,-93.633,45.033,1,,1,,1,,1,,,1,1,,1,,1,0,1,,1,1,,,1,,1,0
112,-81.25,42.917,1,,1,,1,,1,,,1,1,,1,,1,0,1,,1,1,,,1,,1,0
113,-80.1389,37.601,1,,1,,1,,1,,,1,1,,1,,,0,1,,1,1,1,,1,,1,0
114,-85.25,41.583,1,,1,,1,,1,,,1,1,,1,,1,0,1,,1,1,,,1,,1,0
115,-64.8,47.075,1,,1,,1,,,,,1,1,,1,,1,0,1,,1,1,,,1,,1,0
116,-65.167,57.633,1,,1,,1,,,,,1,1,,1,,1,0,1,,1,1,,,1,,,0
117,-76.1,45.6,1,,1,,1,,1,,,1,1,,1,,1,0,1,,1,1,,,1,,1,0
118,-92.7,49.35,1,,1,,1,,1,,,1,1,,1,,1,0,1,,1,1,,,1,,1,0
119,-93.167,32.467,,,1,,1,,1,,,1,1,,1,,,0,,,1,,1,,1,,1,0
120,-99.65,50.717,1,,1,,1,,1,,,1,1,,1,,1,0,1,,1,1,,,1,,,0
121,-76.683,36.167,1,,1,,1,,1,,,1,1,,1,,,0,1,,1,,1,,1,,1,0
122,-57.717,54.4,1,,1,,1,,,,,1,1,,1,,1,0,1,,1,1,,,1,,,0
123,-81.95,27.967,,,1,,1,,1,,1,,1,,1,,,0,,,1,,1,,1,,,0
124,-64.183,45.017,1,,1,,1,,,,,1,1,,1,,1,0,1,,1,1,,,1,,1,0
125,-82,29.517,,,1,,1,,1,,1,,1,,1,,,0,,,1,,1,,1,,,0
126,-83.8,40.35,1,,1,,1,,1,,,1,1,,1,,1,0,1,,1,1,,,1,,1,0
127,-91.567,49.933,1,,1,,1,,1,,,1,1,,1,,1,0,1,,1,1,,,1,,1,0
128,-100.75,63.033,,,1,,1,,,,,1,,,1,,1,0,1,,1,1,,,1,,,0
129,-63.883,56.633,1,,1,,1,,,,,1,1,,1,,1,0,1,,1,1,,,1,,,0
130,-76.35,41.674,1,,1,,1,,1,,,1,1,,1,,1,0,1,,1,1,,,1,,1,0
131,-58.917,53.95,1,,1,,1,,,,,1,1,,1,,1,0,1,,1,1,,,1,,,0
132,-84.689,40.217,1,,1,,1,,1,,,1,1,,1,,1,0,1,,1,1,,,1,,1,0
133,-52.667,47.617,1,,1,,1,,,,,1,1,,1,,1,0,1,,1,1,,,1,,,0
134,-102.509,41.721,,1,,,,1,1,,,1,,1,1,,,1,,,,,,1,1,,,
135,-74.483,40.4,1,,1,,1,,1,,,1,1,,1,,1,0,1,,1,1,,,1,,1,0
136,-91.45,44.15,1,,1,,1,,1,,,1,1,,1,,1,0,1,,1,1,,,1,,1,0
137,-75.2667,41.0382,1,,1,,1,,1,,,1,1,,1,,1,0,1,,1,1,,,1,,1,0
138,-70.62,46.58,1,,1,,1,,1,,,1,1,,1,,1,0,1,,1,1,,,1,,1,0
139,-96.083,47.2,1,,1,,1,,1,,,1,1,,1,,1,0,1,,1,1,,,1,,1,0
140,-73.317,45.546,1,,1,,1,,1,,,1,1,,1,,1,0,1,,1,1,,,1,,1,0
141,-65.167,55.767,1,,1,,1,,,,,1,1,,1,,1,0,1,,1,1,,,1,,,0
142,-81.5,27.583,,,1,,1,,1,,1,,1,,1,,,0,,,1,,1,,1,,,0
143,-67.5,55.017,1,,1,,1,,,,,1,1,,1,,1,0,1,,1,1,,,1,,,0
144,-62.05,57.383,1,,1,,1,,,,,1,1,,1,,1,0,1,,1,1,,,1,,,0
145,-79.38,44,1,,1,,1,,1,,,1,1,,1,,1,0,1,,1,1,,,1,,1,0
146,-78.95,44.617,1,,1,,1,,1,,,1,1,,1,,1,0,1,,1,1,,,1,,1,0
147,-88.184,42.351,1,,1,,1,,1,,,1,1,,1,,1,0,1,,1,1,,,1,,1,0
148,-91.66,47.472,1,,1,,1,,1,,,1,1,,1,,1,0,1,,1,1,,,1,,1,0
149,-80.775,34.167,,,1,,1,,1,,,1,1,,1,,,0,1,,1,,1,,1,,1,0
150,-57.3,51.517,1,,1,,1,,,,,1,1,,1,,1,0,1,,1,1,,,1,,,0
151,-71.117,41.967,1,,1,,1,,1,,,1,1,,1,,1,0,1,,1,1,,,1,,1,0
152,-85.383,42.4,1,,1,,1,,1,,,1,1,,1,,1,0,1,,1,1,,,1,,1,0
153,-93.567,45,1,,1,,1,,1,,,1,1,,1,,1,0,1,,1,1,,,1,,1,0
154,-85.661,46.429,1,,1,,1,,1,,,1,1,,1,,1,0,1,,1,1,,,1,,1,0
155,-90.079,45.335,1,,1,,1,,1,,,1,1,,1,,1,0,1,,1,1,,,1,,1,0
156,-87.95,46.75,1,,1,,1,,1,,,1,1,,1,,1,0,1,,1,1,,,1,,1,0
157,-138.4,64.633,,1,,,,1,,,,1,,1,,1,1,1,1,,,,,1,,1,,1
158,-89.188,38.904,1,,1,,1,,1,,,1,1,,1,,,0,1,,1,1,,,1,,1,0
159,-95.808,34.406,,,1,,1,,1,,,1,1,,1,,,0,,,1,,1,,1,,,0
160,-63.025,46.25,1,,1,,1,,,,,1,1,,1,,1,0,1,,1,1,,,1,,1,0
161,-93.164,44.822,1,,1,,1,,1,,,1,1,,1,,1,0,1,,1,1,,,1,,1,0
162,-76.129,54.147,1,,1,,1,,,,,1,1,,1,,1,0,1,,1,1,,,1,,,0
163,-70.358,54.356,1,,1,,1,,,,,1,1,,1,,1,0,1,,1,1,,,1,,,0
164,-79.072,37.996,1,,1,,1,,1,,,1,1,,1,,,0,1,,1,1,1,,1,,1,0
165,-70.616,47.61,1,,1,,1,,1,,,1,1,,1,,1,0,1,,1,1,,,1,,1,0
166,-78.917,46.4,1,,1,,1,,1,,,1,1,,1,,1,0,1,,1,1,,,1,,1,0
167,-80.413,43.237,1,,1,,1,,1,,,1,1,,1,,1,0,1,,1,1,,,1,,1,0
168,-79.45,45.217,1,,1,,1,,1,,,1,1,,1,,1,0,1,,1,1,,,1,,1,0
169,-90.583,36.6,,,1,,1,,1,,,1,1,,1,,,0,1,,1,,1,,1,,1,0
170,-95.284,46.212,1,,1,,1,,1,,,1,1,,1,,1,0,1,,1,1,,,1,,1,0
171,-69.41,43.921,1,,1,,1,,1,,,1,1,,1,,1,0,1,,1,1,,,1,,1,0
172,-95.307,46.184,1,,1,,1,,1,,,1,1,,1,,1,0,1,,1,1,,,1,,1,0
173,-120.881,45.918,,1,,1,,1,,1,,1,,1,,1,,1,,1,,,,1,,1,,1
174,-110.261,44.299,,1,,1,,1,,,,1,,1,1,,,1,,1,,,,1,,1,,1
175,-69.317,44.983,1,,1,,1,,1,,,1,1,,1,,1,0,1,,1,1,,,1,,1,0
176,-70.35,44.033,1,,1,,1,,1,,,1,1,,1,,1,0,1,,1,1,,,1,,1,0
177,-70.35,43.967,1,,1,,1,,1,,,1,1,,1,,1,0,1,,1,1,,,1,,1,0
178,-68.2,45.033,1,,1,,1,,1,,,1,1,,1,,1,0,1,,1,1,,,1,,1,0
179,-114.15,59.25,1,,,,1,1,,,,1,,,,,1,0,1,,1,1,,,,,,0
180,-118.7,62.05,,,,,1,1,,,,1,,,,,1,0,1,,1,1,,,,,,0
181,-126.117,65.217,,,,,1,1,,,,1,,,,,1,0,1,,1,1,,,,1,,0
182,-120.667,57.45,,1,,,1,1,,,,1,,1,,1,1,1,1,,,,,1,,1,,1
183,-119.717,56.717,,1,,,1,1,,,,1,,1,,1,1,1,1,,,,,1,,1,,1
184,-114.6,50.767,,1,,1,,,,,,1,,1,,,,1,1,1,,,,1,,,,1
185,-122.167,59.517,,1,,,1,1,,,,1,,1,,,1,1,1,,,,,1,,1,,1
186,-78.954,33.799,,,1,,1,,1,,,1,1,,1,,,0,1,,1,,1,,1,,1,0
187,-91.5,42.986,1,,1,,1,,1,,,1,1,,1,,1,0,1,,1,1,,,1,,1,0
188,-112.1,57.767,1,,,,1,1,,,,1,,,1,,1,0,1,,1,1,,,1,,,0
189,-107.011,44.294,,1,,1,,1,,,,1,,1,1,,,1,,1,,,,1,,,,1
190,-80.698,46.828,1,,1,,1,,1,,,1,1,,1,,1,0,1,,1,1,,,1,,1,0
191,-84.258,47.308,1,,1,,1,,1,,,1,1,,1,,1,0,1,,1,1,,,1,,1,0
192,-77.175,44.85,1,,1,,1,,1,,,1,1,,1,,1,0,1,,1,1,,,1,,1,0
193,-107.466,44.5,,1,,1,,1,,,,1,,1,1,,,1,,1,,,,1,,,,1
194,-99.906,44.836,,,,,1,,1,,,1,1,,1,,,1,1,,,,,1,1,,,
195,-76.378,57.117,1,,1,,1,,,,,1,1,,1,,1,0,1,,1,1,,,1,,,0
196,-75.245,58.578,1,,1,,1,,,,,1,1,,1,,1,0,1,,1,1,,,1,,,0
197,-74.583,49.683,1,,1,,1,,1,,,1,1,,1,,1,0,1,,1,1,,,1,,1,0
198,-81.332,27.234,,,1,,1,,1,,1,,1,,1,,,0,,,1,,1,,1,,,0
199,-83.195,30.642,,,1,,1,,1,,1,,1,,1,,,0,,,1,,1,,1,,1,0
