"entitynum","sitenum","sigle"
268,268,"Awash_MK_G1"
269,269,"Awash_MK_G2"
270,270,"Awash_T_H"
271,271,"Awash_Tj"
272,272,"B-Bur87"
273,273,"BOG34VL"
274,274,"BOG36VL"
275,275,"BOG37VL"
276,276,"BOG38VL"
277,277,"BOG43VL"
278,278,"BOG44VL"
279,279,"BOG46VL"
280,280,"BOG55VL"
281,281,"BOG56VL"
282,282,"BOG57VL"
283,283,"BOG58VL"
284,284,"BOG59VL"
285,285,"BOG61VL"
286,286,"BOG64VL"
287,287,"BOG65VL"
288,288,"BOG69VL"
289,289,"C-Bur87"
290,290,"CAM-01"
291,291,"CAM-02"
292,292,"CAM-03"
293,293,"CAM-04"
294,294,"CAM-05"
295,295,"CAM-06"
296,296,"CAM-07"
297,297,"CAM-08"
298,298,"CAM-09"
299,299,"CAM-10"
300,300,"CAM-11"
301,301,"CAM-12"
302,302,"CAM-13"
303,303,"CAM-14"
304,304,"CAM-15"
305,305,"CAM-16"
306,306,"CAM-17"
307,307,"CAM-18"
308,308,"CAM-19"
309,309,"CAM-20"
310,310,"CAM-21"
311,311,"CAM-22"
312,312,"CAM-23"
313,313,"CAM-24"
314,314,"CAM-25"
315,315,"CAM-26"
316,316,"CAM-27"
317,317,"CAM-28"
318,318,"CAM-29"
319,319,"CAM-30"
320,320,"CAM-31"
321,321,"CAM-32"
322,322,"CAM-33"
323,323,"CAM-34"
324,324,"CAM-35"
325,325,"CAM-36"
326,326,"CAM-37"
327,327,"CAM-38"
328,328,"CAM-39"
329,329,"CAM-40"
330,330,"CAM-41"
331,331,"CAM-42"
332,332,"CAM-43"
333,333,"CAM-44"
334,334,"CAM-45"
335,335,"CAM-46"
336,336,"CAM-47"
337,337,"CAM-48"
338,338,"CAM-49"
339,339,"CAM-50"
340,340,"CAM-51"
341,341,"CAM-52"
342,342,"CAM-53"
343,343,"CAM-54"
344,344,"CAM-55"
345,345,"CAM-56"
346,346,"CAM-57"
347,347,"CAM-58"
348,348,"CAM07002S"
349,349,"CAM07003S"
350,350,"CAM07004"
351,351,"CAM07007S"
352,352,"CAM07008S"
353,353,"CAM07009S"
354,354,"CAM070108"
355,355,"CAM07010S"
356,356,"CAM07038S"
357,357,"CAM07039S"
358,358,"CAM07040S"
359,359,"CAM07068S"
360,360,"CAM07069S"
361,361,"CAM07070S"
362,362,"CAM07071S"
363,363,"CAM07087S"
364,364,"CAM07088S"
365,365,"CAM07089S"
366,366,"CAM07090S"
367,367,"CAM07091S"
368,368,"CAM07096S"
369,369,"CAM07097S"
370,370,"CAM07098S"
371,371,"CAM07099S"
372,372,"Ceder1"
373,373,"Ceder10"
374,374,"Ceder11"
375,375,"Ceder12"
376,376,"Ceder13"
377,377,"Ceder14"
378,378,"Ceder15"
379,379,"Ceder16"
380,380,"Ceder2"
381,381,"Ceder3"
382,382,"Ceder4"
383,383,"Ceder5"
384,384,"Ceder6"
385,385,"Ceder7"
386,386,"Ceder8"
387,387,"Ceders11"
388,388,"Ceders12"
389,389,"Ceders14"
390,390,"Ceders16"
391,391,"Ceders2"
392,392,"Ceders4"
393,393,"Ceders6"
394,394,"CH_1"
395,395,"CH_2"
396,396,"Chia"
397,397,"Chowo"
398,398,"Cng-1"
399,399,"Cng-10"
400,400,"Cng-11"
401,401,"Cng-12"
402,402,"Cng-13"
403,403,"Cng-14"
404,404,"Cng-15"
405,405,"Cng-16"
406,406,"Cng-17"
407,407,"Cng-18"
408,408,"Cng-19"
409,409,"Cng-2"
410,410,"Cng-20"
411,411,"Cng-21"
412,412,"Cng-22"
413,413,"Cng-23"
414,414,"Cng-24"
415,415,"Cng-25"
416,416,"Cng-26"
417,417,"Cng-27"
418,418,"Cng-28"
419,419,"Cng-29"
420,420,"Cng-3"
421,421,"Cng-30"
422,422,"Cng-31"
423,423,"Cng-32"
424,424,"Cng-33"
425,425,"Cng-34"
426,426,"Cng-35"
427,427,"Cng-36"
428,428,"Cng-37"
429,429,"Cng-38"
430,430,"Cng-39"
431,431,"Cng-4"
432,432,"Cng-40"
433,433,"Cng-41"
434,434,"Cng-42"
435,435,"Cng-43"
436,436,"Cng-44"
437,437,"Cng-45"
438,438,"Cng-46"
439,439,"Cng-47"
440,440,"Cng-48"
441,441,"Cng-49"
442,442,"Cng-5"
443,443,"Cng-50"
444,444,"Cng-51"
445,445,"Cng-52"
446,446,"Cng-53"
447,447,"Cng-54"
448,448,"Cng-55"
449,449,"Cng-56"
450,450,"Cng-57"
451,451,"Cng-58"
452,452,"Cng-59"
453,453,"Cng-6"
454,454,"Cng-60"
455,455,"Cng-61"
456,456,"Cng-62"
457,457,"Cng-63"
458,458,"Cng-64"
459,459,"Cng-65"
460,460,"Cng-66"
461,461,"Cng-67"
462,462,"Cng-68"
463,463,"Cng-69"
464,464,"Cng-7"
465,465,"Cng-70"
466,466,"Cng-71"
467,467,"Cng-72"
468,468,"Cng-73"
469,469,"Cng-74"
470,470,"Cng-75"
471,471,"Cng-76"
472,472,"Cng-77"
473,473,"Cng-8"
474,474,"Cng-9"
475,475,"D-Bur84"
476,476,"DeltaNil67"
477,477,"DHARAN-A"
478,478,"DHARAN-B"
479,479,"Dogbocomey"
480,480,"DW_1"
481,481,"DW_10"
482,482,"DW_13"
483,483,"DW_14"
484,484,"DW_15"
485,485,"DW_16"
486,486,"DW_18"
487,487,"DW_2"
488,488,"DW_2bis"
489,489,"DW_3"
490,490,"DW_4"
491,491,"DW_5"
492,492,"DW_6"
493,493,"DW_7"
494,494,"DW_8"
495,495,"E-Bur84"
496,496,"E241"
497,497,"E242"
498,498,"E243"
499,499,"E244"
500,500,"E245"
501,501,"E246"
502,502,"E247"
503,503,"E248"
504,504,"E249"
505,505,"E250"
506,506,"E251"
507,507,"E252"
508,508,"E253"
509,509,"E254"
510,510,"E255"
511,511,"E268"
512,512,"E269"
513,513,"E270"
514,514,"E271"
515,515,"E272"
516,516,"E273"
517,517,"E274"
518,518,"E275"
519,519,"E276"
520,520,"E277"
521,521,"E278"
522,522,"E279"
523,523,"E280"
524,524,"E281"
525,525,"E282"
526,526,"E283"
527,527,"EGY1RTC"
528,528,"EGY2RTC"
529,529,"EGY3RTC"
530,530,"EGY4RTC"
531,531,"EGY5RTC"
532,532,"EGYRCp1"
533,533,"EGYRCp10"
534,534,"EGYRCp11"
535,535,"EGYRCp12"
536,536,"EGYRCp13"
537,537,"EGYRCp14"
538,538,"EGYRCp15"
539,539,"EGYRCp16"
540,540,"EGYRCp17"
541,541,"EGYRCp18"
542,542,"EGYRCp2"
543,543,"EGYRCp3"
544,544,"EGYRCp4"
545,545,"EGYRCp5"
546,546,"EGYRCp6"
547,547,"EGYRCp7"
548,548,"EGYRCp8"
549,549,"EGYRCp9"
550,550,"EGYRCrI"
551,551,"EGYRCrII"
552,552,"ERB69VR"
553,553,"ERB72S"
554,554,"ERB72VL"
555,555,"ERB72VR1"
556,556,"ERB72VR2"
557,557,"Eth_HADAR01"
558,558,"Eth_HADAR02"
559,559,"Eth_HADAR03"
560,560,"Eth_HADAR04"
561,561,"Eth_HADAR05"
562,562,"Eth_HADAR06"
563,563,"Eth_HADAR07"
564,564,"ETHIOP_Omop1"
565,565,"ETHIOP_Omop2"
566,566,"ETHIOP_Omop3"
567,567,"ETHIOP_Omop4"
568,568,"ETHIOP_V1"
569,569,"F-Bur84"
570,570,"FB_K3Sa"
571,571,"FreAdj78"
572,572,"FTC80MJ1"
573,573,"FTC80MJ2"
574,574,"G-Bur84"
575,575,"Gb_1"
576,576,"Gb_10"
577,577,"Gb_11"
578,578,"Gb_12"
579,579,"Gb_13"
580,580,"Gb_14"
581,581,"Gb_15"
582,582,"Gb_16"
583,583,"Gb_2"
584,584,"Gb_3"
585,585,"Gb_4"
586,586,"Gb_5"
587,587,"Gb_6"
588,588,"Gb_7"
589,589,"Gb_8"
590,590,"Gb_9"
591,591,"Gb_Bengui1"
592,592,"Gb_Biendi1"
593,593,"Gb_Doubou1"
594,594,"Gb_Doubou2"
595,595,"Gb_Doubou3"
596,596,"Gb_Doubou4"
597,597,"Gb_Massou1"
598,598,"Gb_Sogadel1"
599,599,"Gb_Tchad1"
600,600,"Gb_Tchad2"
601,601,"Gb_Tchad3"
602,602,"Gb-04_103"
603,603,"Gb-04_106"
604,604,"Gb-04_107"
605,605,"Gb-04_108"
606,606,"Gb-04_109"
607,607,"Gb-04_110"
608,608,"Gb-04_111"
609,609,"Gb-04_118"
610,610,"Gb-04_47"
611,611,"Gb-04_48"
612,612,"Gb-04_49"
613,613,"Gb-04_50"
614,614,"Gb-04_51"
615,615,"Gb-04_52"
616,616,"Gb-04_60"
617,617,"Gb-04_61"
618,618,"Gb-04_62"
619,619,"Gb-04_63"
620,620,"Gb-04_64"
621,621,"Gb-04_65"
622,622,"Gb-04_66"
623,623,"Gb-04_67"
624,624,"Gb-04_68"
625,625,"Gb-04_69"
626,626,"Gb-04_70"
627,627,"Gb-04_71"
628,628,"Gb-04_72"
629,629,"Gb-04_73"
630,630,"Gb-04_74"
631,631,"Gb-04_75"
632,632,"Gb-04_76"
633,633,"Gb-04_81"
634,634,"Gb-04_82"
635,635,"Gb-04_83"
636,636,"Gb-04_84"
637,637,"Gb-04_86"
638,638,"Gb-04_87"
639,639,"Gb-04_88"
640,640,"Gb-04_89"
641,641,"Gb-04_90"
642,642,"Gb-04_91"
643,643,"Gb-04_92"
644,644,"Gb-04_94"
645,645,"Gb-04_95"
646,646,"Gb-04_96"
647,647,"Goho"
648,648,"H-Bur85"
649,649,"HO54VL1"
650,650,"HO54VL10"
651,651,"HO54VL11"
652,652,"HO54VL12"
653,653,"HO54VL13"
654,654,"HO54VL14"
655,655,"HO54VL2"
656,656,"HO54VL3"
657,657,"HO54VL4"
658,658,"HO54VL5"
659,659,"HO54VL6"
660,660,"HO54VL7"
661,661,"HO54VL8"
662,662,"HO54VL9"
663,663,"I-Bur85"
664,664,"IS90-S15"
665,665,"IS90-S17"
666,666,"IS90-S19"
667,667,"IS90-S3"
668,668,"IS90-S30"
669,669,"IS90-S31"
670,670,"IS90-S35"
671,671,"IS90-S40"
672,672,"J-Bur85"
