"entitynum","sitenum","sigle"
1102,1102,"Rgw_19"
1103,1103,"Rgw_2"
1104,1104,"Rgw_20"
1105,1105,"Rgw_24"
1106,1106,"Rgw_25"
1107,1107,"Rgw_26"
1108,1108,"Rgw_27"
1109,1109,"Rgw_4"
1110,1110,"Rgw_5"
1111,1111,"Rgw_6"
1112,1112,"Rgw_7A"
1113,1113,"Rgw_8"
1114,1114,"Rgw_9"
1115,1115,"Rgw-03_S2"
1116,1116,"Rgw-03_SA"
1117,1117,"Rgw-03_SC"
1118,1118,"Rgw-03_SE"
1119,1119,"Rgw1"
1120,1120,"RIHYAD-C"
1121,1121,"RIM-1"
1122,1122,"RIM-2"
1123,1123,"RIM-3"
1124,1124,"RIM-8"
1125,1125,"RK"
1126,1126,"S136_3"
1127,1127,"S136_4"
1128,1128,"S136_5"
1129,1129,"S137_6"
1130,1130,"S257_4"
1131,1131,"S82-1"
1132,1132,"S82-13"
1133,1133,"S82-14"
1134,1134,"S82-15"
1135,1135,"S82-16"
1136,1136,"S82-16bis"
1137,1137,"S82-17"
1138,1138,"S82-18"
1139,1139,"S82-19"
1140,1140,"S82-46"
1141,1141,"S82-47"
1142,1142,"S82-51"
1143,1143,"S82-53"
1144,1144,"S82-67"
1145,1145,"S82-73"
1146,1146,"S82-77"
1147,1147,"S82-78"
1148,1148,"S82-79"
1149,1149,"S83-100"
1150,1150,"S83-101"
1151,1151,"S83-102"
1152,1152,"S83-103"
1153,1153,"S83-115"
1154,1154,"S83-116"
1155,1155,"S83-120"
1156,1156,"S83-122"
1157,1157,"S83-127"
1158,1158,"S83-135"
1159,1159,"S83-14"
1160,1160,"S83-15"
1161,1161,"S83-150"
1162,1162,"S83-151"
1163,1163,"S83-155"
1164,1164,"S83-165"
1165,1165,"S83-20"
1166,1166,"S83-25"
1167,1167,"S83-30"
1168,1168,"S83-35"
1169,1169,"S83-4"
1170,1170,"S83-43"
1171,1171,"S83-46"
1172,1172,"S83-48"
1173,1173,"S83-62"
1174,1174,"S83-65"
1175,1175,"S83-68"
1176,1176,"S83-70"
1177,1177,"S83-75"
1178,1178,"S83-79"
1179,1179,"S83-8"
1180,1180,"S83-83"
1181,1181,"S83-95"
1182,1182,"S83-96"
1183,1183,"S83-97"
1184,1184,"S83-98"
1185,1185,"S83-99"
1186,1186,"S85"
1187,1187,"Safr_01"
1188,1188,"Safr_02"
1189,1189,"Safr_03"
1190,1190,"Safr_04"
1191,1191,"Safr_05"
1192,1192,"Safr_06"
1193,1193,"Safr_07"
1194,1194,"Safr_08"
1195,1195,"Safr_09"
1196,1196,"Safr_10"
1197,1197,"Safr_100"
1198,1198,"Safr_101"
1199,1199,"Safr_102"
1200,1200,"Safr_103"
1201,1201,"Safr_104"
1202,1202,"Safr_105"
1203,1203,"Safr_11"
1204,1204,"Safr_12"
1205,1205,"Safr_13"
1206,1206,"Safr_14"
1207,1207,"Safr_15"
1208,1208,"Safr_16"
1209,1209,"Safr_17"
1210,1210,"Safr_18"
1211,1211,"Safr_19"
1212,1212,"Safr_20"
1213,1213,"Safr_21"
1214,1214,"Safr_22"
1215,1215,"Safr_23"
1216,1216,"Safr_24"
1217,1217,"Safr_25"
1218,1218,"Safr_26"
1219,1219,"Safr_27"
1220,1220,"Safr_28"
1221,1221,"Safr_29"
1222,1222,"Safr_30"
1223,1223,"Safr_31"
1224,1224,"Safr_32"
1225,1225,"Safr_33"
1226,1226,"Safr_34"
1227,1227,"Safr_35"
1228,1228,"Safr_36"
1229,1229,"Safr_37"
1230,1230,"Safr_38"
1231,1231,"Safr_39"
1232,1232,"Safr_40"
1233,1233,"Safr_41"
1234,1234,"Safr_42"
1235,1235,"Safr_43"
1236,1236,"Safr_44"
1237,1237,"Safr_45"
1238,1238,"Safr_46"
1239,1239,"Safr_47"
1240,1240,"Safr_48"
1241,1241,"Safr_49"
1242,1242,"Safr_50"
1243,1243,"Safr_51"
1244,1244,"Safr_52"
1245,1245,"Safr_53"
1246,1246,"Safr_54"
1247,1247,"Safr_55"
1248,1248,"Safr_56"
1249,1249,"Safr_57"
1250,1250,"Safr_58"
1251,1251,"Safr_59"
1252,1252,"Safr_60"
1253,1253,"Safr_61"
1254,1254,"Safr_62"
1255,1255,"Safr_63"
1256,1256,"Safr_64"
1257,1257,"Safr_65"
1258,1258,"Safr_66"
1259,1259,"Safr_67"
1260,1260,"Safr_68"
1261,1261,"Safr_69"
1262,1262,"Safr_70"
1263,1263,"Safr_71"
1264,1264,"Safr_72"
1265,1265,"Safr_73"
1266,1266,"Safr_75"
1267,1267,"Safr_76"
1268,1268,"Safr_77"
1269,1269,"Safr_78"
1270,1270,"Safr_79"
1271,1271,"Safr_80"
1272,1272,"Safr_81"
1273,1273,"Safr_82"
1274,1274,"Safr_83"
1275,1275,"Safr_84"
1276,1276,"Safr_85"
1277,1277,"Safr_86"
1278,1278,"Safr_87"
1279,1279,"Safr_88"
1280,1280,"Safr_89"
1281,1281,"Safr_90"
1282,1282,"Safr_91"
1283,1283,"Safr_92"
1284,1284,"Safr_93"
1285,1285,"Safr_94"
1286,1286,"Safr_95"
1287,1287,"Safr_96"
1288,1288,"Safr_97"
1289,1289,"Safr_98"
1290,1290,"Safr_99"
1291,1291,"Saza"
1292,1292,"Ssezibwa_river"
1293,1293,"STC80MJ3"
1294,1294,"SUD1-1"
1295,1295,"SUD12-2A"
1296,1296,"SUD17-2A"
1297,1297,"SUD19-2B"
1298,1298,"SUD20-2B"
1299,1299,"SUD21-2B"
1300,1300,"SUD25-3B"
1301,1301,"SUD3-1"
1302,1302,"SUD30-3B"
1303,1303,"SUD5-1"
1304,1304,"SUD9-2A"
1305,1305,"Sug-N-S4"
1306,1306,"Sug-S1"
1307,1307,"Sug-S2"
1308,1308,"Sug-S3"
1309,1309,"TARL10"
1310,1310,"TARL11"
1311,1311,"TARL12"
1312,1312,"TARL13"
1313,1313,"TARL14"
1314,1314,"TARL15"
1315,1315,"TARL16"
1316,1316,"TARL17"
1317,1317,"TARL18"
1318,1318,"TARL19"
1319,1319,"TARL20"
1320,1320,"TARL21"
1321,1321,"TARL22"
1322,1322,"TARL23"
1323,1323,"TARL24"
1324,1324,"TARL8"
1325,1325,"TARL9"
1326,1326,"Tc_Dj_A"
1327,1327,"Tc_Dj_B"
1328,1328,"Tc_Dj_C"
1329,1329,"Tc_Dj_D"
1330,1330,"Tc_Dj_E"
1331,1331,"Tc_Dj_F"
1332,1332,"Tc_Dj_G"
1333,1333,"Tc_Dj_H"
1334,1334,"Tc_Dj_I"
1335,1335,"Tc_Dj_J"
1336,1336,"Tc_Dj_K"
1337,1337,"Tc_Dj_L"
1338,1338,"Tc_Dj_Tot"
1339,1339,"Tc80MJ-A"
1340,1340,"Tc80MJ-B"
1341,1341,"Tc80MJ-C"
1342,1342,"Tc80MJ-D"
1343,1343,"Tc80MJ1"
1344,1344,"Tc80MJ2"
1345,1345,"Tc80MJ3"
1346,1346,"Tc80MJ4"
1347,1347,"Tc80MJ5"
1348,1348,"Tc80MJ6"
1349,1349,"Tc80MJ7"
1350,1350,"Tc80MJ8"
1351,1351,"Tc80MJCh"
1352,1352,"Tilora"
1353,1353,"TOG01"
1354,1354,"TOG02"
1355,1355,"TOG03"
1356,1356,"TOG04"
1357,1357,"TOG05"
1358,1358,"TOG06"
1359,1359,"TOG07"
1360,1360,"TOG08"
1361,1361,"TOG09"
1362,1362,"TOG10"
1363,1363,"TOG100"
1364,1364,"TOG101"
1365,1365,"TOG102"
1366,1366,"TOG103"
1367,1367,"TOG104"
1368,1368,"TOG105"
1369,1369,"TOG106"
1370,1370,"TOG107"
1371,1371,"TOG108"
1372,1372,"TOG109"
1373,1373,"TOG11"
1374,1374,"TOG110"
1375,1375,"TOG111"
1376,1376,"TOG112"
1377,1377,"TOG113"
1378,1378,"TOG114"
1379,1379,"TOG115"
1380,1380,"TOG116"
1381,1381,"TOG117"
1382,1382,"TOG118"
1383,1383,"TOG119"
1384,1384,"TOG12"
1385,1385,"TOG120"
1386,1386,"TOG121"
1387,1387,"TOG122"
1388,1388,"TOG123"
1389,1389,"TOG124"
1390,1390,"TOG125"
1391,1391,"TOG126"
1392,1392,"TOG127"
1393,1393,"TOG129"
1394,1394,"TOG13"
1395,1395,"TOG130"
1396,1396,"TOG131"
1397,1397,"TOG132"
1398,1398,"TOG133"
1399,1399,"TOG134"
1400,1400,"TOG135"
1401,1401,"TOG136"
1402,1402,"TOG137"
1403,1403,"TOG138"
1404,1404,"TOG139"
1405,1405,"TOG14"
1406,1406,"TOG140"
1407,1407,"TOG141"
1408,1408,"TOG142"
1409,1409,"TOG143"
1410,1410,"TOG144"
1411,1411,"TOG145"
1412,1412,"TOG146"
1413,1413,"TOG147"
1414,1414,"TOG148"
1415,1415,"TOG149"
1416,1416,"TOG15"
1417,1417,"TOG150"
1418,1418,"TOG151"
1419,1419,"TOG152"
1420,1420,"TOG153"
1421,1421,"TOG154"
1422,1422,"TOG155"
1423,1423,"TOG156"
1424,1424,"TOG157"
1425,1425,"TOG158"
1426,1426,"TOG16"
1427,1427,"TOG17"
1428,1428,"TOG18"
1429,1429,"TOG19"
1430,1430,"TOG20"
1431,1431,"TOG21"
1432,1432,"TOG22"
1433,1433,"TOG23"
1434,1434,"TOG24"
1435,1435,"TOG25"
1436,1436,"TOG26"
1437,1437,"TOG27"
1438,1438,"TOG28"
1439,1439,"TOG29"
1440,1440,"TOG30"
1441,1441,"TOG31"
1442,1442,"TOG32"
1443,1443,"TOG33"
1444,1444,"TOG34"
1445,1445,"TOG35"
1446,1446,"TOG36"
1447,1447,"TOG37"
1448,1448,"TOG38"
1449,1449,"TOG39"
1450,1450,"TOG40"
1451,1451,"TOG41"
1452,1452,"TOG42"
1453,1453,"TOG43"
1454,1454,"TOG44"
1455,1455,"TOG45"
1456,1456,"TOG46"
1457,1457,"TOG47"
1458,1458,"TOG48"
1459,1459,"TOG49"
1460,1460,"TOG50"
1461,1461,"TOG51"
1462,1462,"TOG52"
1463,1463,"TOG53"
1464,1464,"TOG54"
1465,1465,"TOG55"
1466,1466,"TOG56"
1467,1467,"TOG57"
1468,1468,"TOG58"
1469,1469,"TOG59"
1470,1470,"TOG60"
1471,1471,"TOG61"
1472,1472,"TOG62"
1473,1473,"TOG63"
1474,1474,"TOG64"
1475,1475,"TOG65"
1476,1476,"TOG66"
1477,1477,"TOG67"
1478,1478,"TOG68"
1479,1479,"TOG69"
1480,1480,"TOG70"
1481,1481,"TOG71"
1482,1482,"TOG72"
1483,1483,"TOG73"
1484,1484,"TOG74"
1485,1485,"TOG75"
1486,1486,"TOG76"
1487,1487,"TOG77"
1488,1488,"TOG78"
1489,1489,"TOG79"
1490,1490,"TOG80"
1491,1491,"TOG81"
1492,1492,"TOG82"
1493,1493,"TOG83"
1494,1494,"TOG84"
1495,1495,"TOG85"
1496,1496,"TOG86"
1497,1497,"TOG87"
1498,1498,"TOG88"
1499,1499,"TOG89"
1500,1500,"TOG90"
1501,1501,"TOG91"
1502,1502,"TOG92"
1503,1503,"TOG93"
1504,1504,"TOG94"
1505,1505,"TOG95"
1506,1506,"TOG96"
1507,1507,"TOG97"
1508,1508,"TOG98"
1509,1509,"TOG99"
1510,1510,"Total_1985-1986"
1511,1511,"TURK-1"
1512,1512,"TURK-10"
1513,1513,"TURK-11"
1514,1514,"TURK-12"
1515,1515,"TURK-13"
1516,1516,"TURK-14"
1517,1517,"TURK-15"
1518,1518,"TURK-16"
1519,1519,"TURK-17"
1520,1520,"TURK-18"
1521,1521,"TURK-19"
1522,1522,"TURK-2"
1523,1523,"TURK-20"
1524,1524,"TURK-21"
1525,1525,"TURK-22"
1526,1526,"TURK-23"
1527,1527,"TURK-24"
1528,1528,"TURK-25"
1529,1529,"TURK-26"
1530,1530,"TURK-27"
1531,1531,"TURK-28"
1532,1532,"TURK-3"
1533,1533,"TURK-4"
1534,1534,"TURK-5"
1535,1535,"TURK-6"
1536,1536,"TURK-7"
1537,1537,"TURK-8"
1538,1538,"TURK-9"
1539,1539,"Typha_swamp"
1540,1540,"UARL1"
1541,1541,"UARL2"
1542,1542,"UARL48"
1543,1543,"UARL49"
1544,1544,"UARL50"
1545,1545,"UARL51"
1546,1546,"UARL52"
1547,1547,"UARL53"
1548,1548,"UARL54"
1549,1549,"UARL55"
1550,1550,"UARL56"
1551,1551,"UARL57"
1552,1552,"UARL58"
1553,1553,"UARL59"
1554,1554,"Unaka"
1555,1555,"V15"
1556,1556,"V16"
1557,1557,"V17"
1558,1558,"V18"
1559,1559,"V19"
1560,1560,"V20"
1561,1561,"V21"
1562,1562,"V22"
1563,1563,"V23"
1564,1564,"V82-1"
1565,1565,"V82-10"
1566,1566,"V82-11"
1567,1567,"V82-2"
1568,1568,"V82-24"
1569,1569,"V82-25"
1570,1570,"V82-26"
1571,1571,"V82-27"
1572,1572,"V82-4"
1573,1573,"V82-5"
1574,1574,"V82-7"
1575,1575,"V82-8"
1576,1576,"V83-1"
1577,1577,"V83-2"
1578,1578,"V83-3"
1579,1579,"V83-4"
1580,1580,"V83-5"
1581,1581,"V83-7"
1582,1582,"V83-NP"
1583,1583,"V96-4MC"
1584,1584,"V96-5MC"
1585,1585,"V96-8MC"
1586,1586,"VDAK1"
1587,1587,"VDAK2"
1588,1588,"W_384"
1589,1589,"W_385"
1590,1590,"W_386"
1591,1591,"W_387"
1592,1592,"W_388"
1593,1593,"Y96-03"
1594,1594,"Y96-08"
1595,1595,"Y96-138"
1596,1596,"Y96-139"
1597,1597,"Y96-140"
1598,1598,"Y96-40"
1599,1599,"Yb_tot_ann"
1600,1600,"Yb-1"
1601,1601,"Yb-10"
1602,1602,"Yb-11"
1603,1603,"Yb-12"
1604,1604,"Yb-2"
1605,1605,"Yb-3"
1606,1606,"Yb-4"
1607,1607,"Yb-5"
1608,1608,"Yb-6"
1609,1609,"Yb-7"
1610,1610,"Yb-8"
1611,1611,"Yb-9"
1612,1612,"ZARL25"
1613,1613,"ZARL26"
1614,1614,"ZARL27"
1615,1615,"ZARL28"
1616,1616,"ZARL29"
1617,1617,"ZARL30"
1618,1618,"ZB82VM"
1619,1619,"Zinvie"
