"sitenum","sitename","latdd","londd","altitude","poldiv1"
171,"Ahozon_1",6.36,2.16,394,"BEN"
172,"Ahozon_2",6.38,2.16,394,"BEN"
173,"Ahozon_3",6.38,2.16,394,"BEN"
174,"AML81-LS",7.49,38.61,111,"ETH"
175,"AML81-LZ",8.00,38.83,122,"ETH"
176,"AML81-VR",7.71,38.65,117,"ETH"
177,"AML81S33",7.39,38.66,111,"ETH"
178,"AML81S36",7.42,38.67,111,"ETH"
179,"AO1",-1.08,29.75,172,"UGA"
180,"AO10",-1.08,29.75,172,"UGA"
181,"AO11",-1.08,29.75,172,"UGA"
182,"AO12",-1.08,29.75,172,"UGA"
183,"AO13",-1.08,29.75,172,"UGA"
184,"AO14",-1.08,29.75,172,"UGA"
185,"AO15",-1.08,29.75,172,"UGA"
186,"AO16",-1.08,29.75,172,"UGA"
187,"AO17",-1.08,29.75,172,"UGA"
188,"AO18",-1.08,29.75,172,"UGA"
189,"AO19",-1.08,29.75,172,"UGA"
190,"AO2",-1.08,29.75,172,"UGA"
191,"AO20",-1.08,29.75,172,"UGA"
192,"AO21",-1.08,29.75,172,"UGA"
193,"AO22",-1.08,29.75,172,"UGA"
194,"AO23",-1.08,29.75,172,"UGA"
195,"AO24",-1.08,29.75,172,"UGA"
196,"AO3",-1.08,29.75,172,"UGA"
197,"AO4",-1.08,29.75,172,"UGA"
198,"AO5",-1.08,29.75,172,"UGA"
199,"AO6",-1.08,29.75,172,"UGA"
200,"AO7",-1.08,29.75,172,"UGA"
201,"AO8",-1.08,29.75,1805,"UGA"
202,"AO9",-1.08,29.75,1805,"UGA"
203,"APKN_I",21.31,17.00,2471,"TCD"
204,"APKN_IV",21.31,17.00,2471,"TCD"
205,"APKN_XII",21.31,17.00,2471,"TCD"
206,"APKN_XIII",21.31,17.00,2471,"TCD"
207,"AV-S1",0.08,36.01,106,"KEN"
208,"AV-S11",0.26,36.16,106,"KEN"
209,"AV-S2",0.20,36.13,117,"KEN"
210,"AV89-S1",1.50,30.96,391,"UGA"
211,"AV89-S10",1.50,30.96,391,"UGA"
212,"AV89-S11",1.50,30.96,391,"UGA"
213,"AV89-S12",1.50,30.96,391,"UGA"
214,"AV89-S13",1.50,30.96,391,"UGA"
215,"AV89-S14",1.33,31.20,74,"UGA"
216,"AV89-S15",1.33,31.20,74,"UGA"
217,"AV89-S16",1.23,31.08,74,"UGA"
218,"AV89-S17",1.23,31.08,74,"UGA"
219,"AV89-S18",1.35,31.01,60,"UGA"
220,"AV89-S19",1.35,31.01,60,"UGA"
221,"AV89-S2",1.50,30.96,391,"UGA"
222,"AV89-S20",1.35,31.01,60,"UGA"
223,"AV89-S21",1.35,31.01,60,"UGA"
224,"AV89-S22",1.40,31.00,32,"UGA"
225,"AV89-S23",1.40,31.00,452,"UGA"
226,"AV89-S24",1.40,31.00,452,"UGA"
227,"AV89-S26",1.50,30.96,383,"UGA"
228,"AV89-S27",1.50,30.96,391,"UGA"
229,"AV89-S3",1.50,30.96,391,"UGA"
230,"AV89-S4",1.50,30.96,391,"UGA"
231,"AV89-S5",1.50,30.96,391,"UGA"
232,"AV89-S6",1.50,30.96,391,"UGA"
233,"AV89-S7",1.50,30.96,391,"UGA"
234,"AV89-S8",1.50,30.96,391,"UGA"
235,"AV89-S9",1.50,30.96,391,"UGA"
236,"AVC10VL",-2.20,35.97,381,"TZA"
237,"AVC11VL",-2.52,36.02,381,"TZA"
238,"AVC2VL",-2.56,35.88,381,"TZA"
239,"AVC3VL",-2.60,35.92,381,"TZA"
240,"AVC4VL",-2.58,35.92,381,"TZA"
241,"AVC5VL",-2.55,35.88,381,"TZA"
242,"AVC7VL",-2.31,35.98,381,"TZA"
243,"AVC8VL",-2.16,35.99,381,"TZA"
244,"AVC9VL",-2.21,35.97,381,"TZA"
245,"AVKab_S1",0.48,35.73,164,"KEN"
246,"Awash_350",11.53,40.91,28,"ETH"
247,"Awash_352",8.19,39.00,117,"ETH"
248,"Awash_547_bis",8.50,39.56,27,"ETH"
249,"Awash_574",11.67,41.13,28,"ETH"
250,"Awash_575",11.67,41.13,28,"ETH"
251,"Awash_582",11.58,41.39,28,"ETH"
252,"Awash_A_Stat",8.87,40.06,27,"ETH"
253,"Awash_A_Sued",8.50,39.56,27,"ETH"
254,"Awash_C_L",11.19,40.83,28,"ETH"
255,"Awash_G_604",10.06,40.54,28,"ETH"
256,"Awash_G_80",10.06,40.54,28,"ETH"
257,"Awash_Gba",8.76,38.46,165,"ETH"
258,"Awash_Gomb",8.76,38.46,165,"ETH"
259,"Awash_H_742",11.08,40.53,28,"ETH"
260,"Awash_H_C74",11.03,40.47,28,"ETH"
261,"Awash_H_C80",11.03,40.47,28,"ETH"
262,"Awash_H_S4",11.08,40.53,28,"ETH"
263,"Awash_H_V1",11.03,40.47,28,"ETH"
264,"Awash_Hgf",10.67,40.45,28,"ETH"
265,"Awash_K_80",8.19,39.00,27,"ETH"
266,"Awash_L_A549",11.21,41.75,195,"ETH"
267,"Awash_M_S",9.11,40.15,426,"ETH"
268,"Awash_MK_G1",8.69,38.65,27,"ETH"
269,"Awash_MK_G2",8.69,38.65,27,"ETH"
270,"Awash_T_H",8.17,39.40,27,"ETH"
271,"Awash_Tj",8.84,38.43,165,"ETH"
272,"B-Bur87",-12.51,49.18,457,"MDG"
273,"BOG34VL",0.20,36.10,459,"KEN"
274,"BOG36VL",0.18,36.11,459,"KEN"
275,"BOG37VL",0.19,36.11,459,"KEN"
276,"BOG38VL",0.19,36.12,459,"KEN"
277,"BOG43VL",0.21,36.10,459,"KEN"
278,"BOG44VL",0.21,36.11,459,"KEN"
279,"BOG46VL",0.21,36.12,459,"KEN"
280,"BOG55VL",0.24,36.09,459,"KEN"
281,"BOG56VL",0.24,36.09,459,"KEN"
282,"BOG57VL",0.24,36.10,459,"KEN"
283,"BOG58VL",0.24,36.10,459,"KEN"
284,"BOG59VL",0.24,36.10,459,"KEN"
285,"BOG61VL",0.33,36.08,459,"KEN"
286,"BOG64VL",0.31,36.07,459,"KEN"
287,"BOG65VL",0.30,36.08,459,"KEN"
288,"BOG69VL",0.30,36.09,459,"KEN"
289,"C-Bur87",-18.78,48.33,445,"MDG"
290,"CAM-01",4.16,9.47,150,"CMR"
291,"CAM-02",4.03,9.53,62,"CMR"
292,"CAM-03",4.34,9.84,56,"CMR"
293,"CAM-04",3.78,10.18,92,"CMR"
294,"CAM-05",3.68,10.06,84,"CMR"
295,"CAM-06",3.60,9.77,27,"CMR"
296,"CAM-07",3.65,9.89,30,"CMR"
297,"CAM-08",3.61,10.08,115,"CMR"
298,"CAM-09",3.39,10.09,92,"CMR"
299,"CAM-10",5.40,10.46,1477,"CMR"
300,"CAM-11",5.72,10.53,990,"CMR"
301,"CAM-12",5.83,11.26,724,"CMR"
302,"CAM-13",6.02,11.33,731,"CMR"
303,"CAM-14",6.00,11.51,934,"CMR"
304,"CAM-15",6.58,11.82,1040,"CMR"
305,"CAM-16",6.67,12.51,867,"CMR"
306,"CAM-17",6.35,12.51,914,"CMR"
307,"CAM-18",6.30,12.75,888,"CMR"
308,"CAM-19",6.53,12.60,898,"CMR"
309,"CAM-20",6.60,12.65,1188,"CMR"
310,"CAM-21",6.49,13.06,888,"CMR"
311,"CAM-22",6.00,14.36,1,"CMR"
312,"CAM-23",5.59,13.98,1,"CMR"
313,"CAM-24",4.91,13.31,696,"CMR"
314,"CAM-25",4.56,13.21,735,"CMR"
315,"CAM-26",4.70,12.40,613,"CMR"
316,"CAM-27",4.40,11.76,458,"CMR"
317,"CAM-28",4.41,11.26,360,"CMR"
318,"CAM-29",4.50,11.30,443,"CMR"
319,"CAM-30",4.88,11.10,461,"CMR"
320,"CAM-31",4.35,11.33,386,"CMR"
321,"CAM-32",4.03,10.62,364,"CMR"
322,"CAM-33",4.33,13.71,388,"CMR"
323,"CAM-34",4.33,13.71,388,"CMR"
324,"CAM-35",4.33,13.71,388,"CMR"
325,"CAM-36",4.33,13.71,388,"CMR"
326,"CAM-37",4.33,13.71,388,"CMR"
327,"CAM-38",4.33,13.71,388,"CMR"
328,"CAM-39",4.33,13.71,388,"CMR"
329,"CAM-40",4.33,13.71,388,"CMR"
330,"CAM-41",4.33,13.71,388,"CMR"
331,"CAM-42",4.33,13.71,388,"CMR"
332,"CAM-43",4.33,13.71,388,"CMR"
333,"CAM-44",4.33,13.71,388,"CMR"
334,"CAM-45",4.33,13.71,388,"CMR"
335,"CAM-46",4.33,13.71,388,"CMR"
336,"CAM-47",4.33,13.71,388,"CMR"
337,"CAM-48",4.33,13.71,388,"CMR"
338,"CAM-49",4.33,13.71,388,"CMR"
339,"CAM-50",4.33,13.71,388,"CMR"
340,"CAM-51",4.33,13.71,388,"CMR"
341,"CAM-52",4.33,13.71,388,"CMR"
342,"CAM-53",4.33,13.71,388,"CMR"
343,"CAM-54",4.33,13.71,388,"CMR"
344,"CAM-55",4.33,13.71,388,"CMR"
345,"CAM-56",4.33,13.71,388,"CMR"
346,"CAM-57",4.33,13.71,388,"CMR"
347,"CAM-58",4.33,13.71,388,"CMR"
348,"CAM07002S",4.00,12.63,396,"CMR"
349,"CAM07003S",3.98,12.26,411,"CMR"
350,"CAM07004",3.98,12.26,410,"CMR"
351,"CAM07007S",3.85,12.23,398,"CMR"
352,"CAM07008S",3.85,12.23,400,"CMR"
353,"CAM07009S",3.85,12.23,389,"CMR"
354,"CAM070108",4.38,11.71,361,"CMR"
355,"CAM07010S",3.85,12.23,407,"CMR"
356,"CAM07038S",3.58,9.91,219,"CMR"
357,"CAM07039S",3.58,9.91,91,"CMR"
358,"CAM07040S",3.58,9.91,59,"CMR"
359,"CAM07068S",3.55,9.76,128,"CMR"
360,"CAM07069S",3.55,9.76,150,"CMR"
361,"CAM07070S",3.55,9.76,150,"CMR"
362,"CAM07071S",3.55,9.76,104,"CMR"
363,"CAM07087S",3.35,13.51,412,"CMR"
364,"CAM07088S",3.35,13.51,413,"CMR"
365,"CAM07089S",3.35,13.51,412,"CMR"
366,"CAM07090S",3.35,13.53,418,"CMR"
367,"CAM07091S",3.35,13.55,419,"CMR"
368,"CAM07096S",3.81,13.31,399,"CMR"
369,"CAM07097S",3.81,13.31,402,"CMR"
370,"CAM07098S",3.81,13.31,406,"CMR"
371,"CAM07099S",3.81,13.31,405,"CMR"
372,"Ceder1",-32.43,19.13,445,"ZAF"
373,"Ceder10",-32.42,19.14,445,"ZAF"
374,"Ceder11",-32.45,19.13,445,"ZAF"
375,"Ceder12",-32.45,19.12,445,"ZAF"
376,"Ceder13",-32.45,19.14,445,"ZAF"
377,"Ceder14",-32.41,19.13,445,"ZAF"
378,"Ceder15",-32.41,19.12,445,"ZAF"
379,"Ceder16",-32.41,19.14,445,"ZAF"
380,"Ceder2",-32.44,19.13,445,"ZAF"
381,"Ceder3",-32.42,19.13,445,"ZAF"
382,"Ceder4",-32.43,19.14,445,"ZAF"
383,"Ceder5",-32.43,19.12,445,"ZAF"
384,"Ceder6",-32.44,19.14,445,"ZAF"
385,"Ceder7",-32.44,19.12,445,"ZAF"
386,"Ceder8",-32.42,19.12,445,"ZAF"
387,"Ceders11",-32.45,19.13,445,"ZAF"
388,"Ceders12",-32.45,19.12,445,"ZAF"
389,"Ceders14",-32.41,19.13,445,"ZAF"
390,"Ceders16",-32.41,19.14,445,"ZAF"
391,"Ceders2",-32.44,19.13,445,"ZAF"
392,"Ceders4",-32.43,19.14,445,"ZAF"
393,"Ceders6",-32.44,19.14,445,"ZAF"
394,"CH_1",-8.56,33.46,99,"TZA"
395,"CH_2",-8.50,33.25,108,"TZA"
396,"Chia",-13.07,34.30,354,"MWI"
397,"Chowo",-10.71,33.44,74,"MWI"
398,"Cng-1",-3.50,15.35,417,"COG"
399,"Cng-10",-4.27,12.50,293,"COG"
400,"Cng-11",1.53,17.91,208,"COG"
401,"Cng-12",-4.58,11.83,356,"COG"
402,"Cng-13",-4.67,11.83,30,"COG"
403,"Cng-14",-4.66,11.83,30,"COG"
404,"Cng-15",-4.66,11.83,162,"COG"
405,"Cng-16",-4.66,11.83,249,"COG"
406,"Cng-17",-4.58,11.75,355,"COG"
407,"Cng-18",-4.66,11.83,249,"COG"
408,"Cng-19",-4.58,11.83,85,"COG"
409,"Cng-2",-3.51,15.50,420,"COG"
410,"Cng-20",1.55,17.91,208,"COG"
411,"Cng-21",1.60,17.00,250,"COG"
412,"Cng-22",-4.25,12.41,416,"COG"
413,"Cng-23",-4.53,12.13,309,"COG"
414,"Cng-24",-4.29,12.51,445,"COG"
415,"Cng-25",-4.35,12.26,380,"COG"
416,"Cng-26",-4.11,12.36,416,"COG"
417,"Cng-27",-3.50,15.35,416,"COG"
418,"Cng-28",-4.16,12.38,357,"COG"
419,"Cng-29",-4.16,12.38,357,"COG"
420,"Cng-3",-3.52,15.40,420,"COG"
421,"Cng-30",-4.16,12.38,357,"COG"
422,"Cng-31",-4.16,12.38,357,"COG"
423,"Cng-32",-4.16,12.38,357,"COG"
424,"Cng-33",-4.16,12.38,357,"COG"
425,"Cng-34",-4.16,12.38,357,"COG"
426,"Cng-35",-4.16,12.38,357,"COG"
427,"Cng-36",-4.16,12.38,357,"COG"
428,"Cng-37",-4.16,12.38,357,"COG"
429,"Cng-38",-4.21,12.43,209,"COG"
430,"Cng-39",-4.21,12.43,209,"COG"
431,"Cng-4",-3.52,15.41,420,"COG"
432,"Cng-40",-4.21,12.43,209,"COG"
433,"Cng-41",-4.21,12.43,209,"COG"
434,"Cng-42",-4.21,12.43,209,"COG"
435,"Cng-43",-4.28,12.06,98,"COG"
436,"Cng-44",-4.28,12.06,98,"COG"
437,"Cng-45",-4.28,12.06,98,"COG"
438,"Cng-46",-4.28,12.06,98,"COG"
439,"Cng-47",-4.28,12.06,98,"COG"
440,"Cng-48",-4.28,12.06,98,"COG"
441,"Cng-49",-4.28,12.06,98,"COG"
442,"Cng-5",-3.54,15.44,416,"COG"
443,"Cng-50",-4.28,12.06,98,"COG"
444,"Cng-51",-4.28,12.06,98,"COG"
445,"Cng-52",-4.28,12.06,98,"COG"
446,"Cng-53",-4.28,12.06,98,"COG"
447,"Cng-54",-4.28,12.06,98,"COG"
448,"Cng-55",-4.28,12.06,98,"COG"
449,"Cng-56",-4.08,12.15,82,"COG"
450,"Cng-57",-4.08,12.16,136,"COG"
451,"Cng-58",-4.08,12.17,190,"COG"
452,"Cng-59",-4.08,12.18,252,"COG"
453,"Cng-6",-4.25,14.40,309,"COG"
454,"Cng-60",-4.08,12.19,254,"COG"
455,"Cng-61",-4.08,12.20,290,"COG"
456,"Cng-62",-4.08,12.21,155,"COG"
457,"Cng-63",-4.08,12.22,220,"COG"
458,"Cng-64",-4.08,12.23,442,"COG"
459,"Cng-65",-4.35,12.31,582,"COG"
460,"Cng-66",-4.31,12.10,134,"COG"
461,"Cng-67",-4.31,12.20,306,"COG"
462,"Cng-68",-4.16,12.50,263,"COG"
463,"Cng-69",-4.28,12.58,505,"COG"
464,"Cng-7",-4.51,13.50,163,"COG"
465,"Cng-70",-4.28,12.58,505,"COG"
466,"Cng-71",-4.28,11.75,12,"COG"
467,"Cng-72",-4.28,11.76,12,"COG"
468,"Cng-73",-4.28,11.77,12,"COG"
469,"Cng-74",-4.83,11.91,108,"COG"
470,"Cng-75",-4.83,11.91,108,"COG"
471,"Cng-76",-4.33,11.75,14,"COG"
472,"Cng-77",-4.33,11.76,12,"COG"
473,"Cng-8",-4.36,12.55,105,"COG"
474,"Cng-9",-4.27,12.50,283,"COG"
475,"D-Bur84",-19.03,49.56,75,"MDG"
476,"DeltaNil67",31.40,30.40,173,"EGY"
477,"DHARAN-A",26.05,49.83,20,"SAU"
478,"DHARAN-B",26.05,49.83,20,"SAU"
479,"Dogbocomey",6.53,2.37,76,"BEN"
480,"DW_1",8.12,37.57,33,"ETH"
481,"DW_10",6.62,37.05,49,"ETH"
482,"DW_13",6.77,36.91,50,"ETH"
483,"DW_14",6.70,36.87,51,"ETH"
484,"DW_15",6.51,36.15,52,"ETH"
485,"DW_16",6.42,36.17,53,"ETH"
486,"DW_18",6.12,36.00,54,"ETH"
487,"DW_2",8.05,37.48,34,"ETH"
488,"DW_2bis",7.40,37.47,37,"ETH"
489,"DW_3",7.27,37.43,38,"ETH"
490,"DW_4",7.25,37.40,39,"ETH"
491,"DW_5",7.21,37.46,40,"ETH"
492,"DW_6",6.80,37.47,43,"ETH"
493,"DW_7",6.73,37.43,44,"ETH"
494,"DW_8",6.62,37.25,47,"ETH"
495,"E-Bur84",-19.03,49.56,76,"MDG"
496,"E241",7.83,39.40,286,"ETH"
497,"E242",7.79,39.39,286,"ETH"
498,"E243",7.74,39.26,220,"ETH"
499,"E244",7.75,39.42,286,"ETH"
500,"E245",7.13,39.67,267,"ETH"
501,"E246",6.83,39.92,297,"ETH"
502,"E247",6.74,39.74,201,"ETH"
503,"E248",7.13,39.74,258,"ETH"
504,"E249",7.13,39.73,258,"ETH"
505,"E250",7.18,39.73,251,"ETH"
506,"E251",6.97,39.67,277,"ETH"
507,"E252",6.97,39.67,277,"ETH"
508,"E253",7.05,39.73,272,"ETH"
509,"E254",7.11,38.61,124,"ETH"
510,"E255",7.54,39.89,185,"ETH"
511,"E268",5.63,39.36,136,"ETH"
512,"E269",5.65,39.36,136,"ETH"
513,"E270",5.88,39.16,151,"ETH"
514,"E271",5.95,38.88,174,"ETH"
515,"E272",6.00,38.86,179,"ETH"
516,"E273",6.01,38.85,179,"ETH"
517,"E274",6.05,38.75,181,"ETH"
518,"E275",6.13,38.73,183,"ETH"
519,"E276",6.18,38.73,207,"ETH"
520,"E277",6.21,38.70,209,"ETH"
521,"E278",6.25,38.71,229,"ETH"
522,"E279",5.43,38.26,140,"ETH"
523,"E280",5.51,38.25,151,"ETH"
524,"E281",5.50,38.23,151,"ETH"
525,"E282",6.31,37.65,240,"ETH"
526,"E283",6.33,37.83,93,"ETH"
527,"EGY1RTC",25.81,28.98,352,"EGY"
528,"EGY2RTC",25.81,28.98,352,"EGY"
529,"EGY3RTC",25.81,28.98,352,"EGY"
530,"EGY4RTC",25.81,28.98,352,"EGY"
531,"EGY5RTC",25.81,28.98,352,"EGY"
532,"EGYRCp1",26.02,28.92,193,"EGY"
533,"EGYRCp10",25.88,28.93,419,"EGY"
534,"EGYRCp11",25.88,28.93,419,"EGY"
535,"EGYRCp12",25.90,28.77,116,"EGY"
536,"EGYRCp13",25.87,28.83,111,"EGY"
537,"EGYRCp14",25.87,28.83,111,"EGY"
538,"EGYRCp15",25.87,28.83,111,"EGY"
539,"EGYRCp16",25.87,28.83,111,"EGY"
540,"EGYRCp17",25.87,28.83,111,"EGY"
541,"EGYRCp18",25.87,28.83,111,"EGY"
542,"EGYRCp2",25.92,28.90,110,"EGY"
543,"EGYRCp3",25.82,29.00,144,"EGY"
544,"EGYRCp4",25.85,29.02,148,"EGY"
545,"EGYRCp5",25.90,28.97,381,"EGY"
546,"EGYRCp6",25.88,28.93,419,"EGY"
547,"EGYRCp7",25.88,28.93,419,"EGY"
548,"EGYRCp8",25.88,28.93,419,"EGY"
549,"EGYRCp9",25.88,28.93,419,"EGY"
550,"EGYRCrI",26.16,28.78,222,"EGY"
551,"EGYRCrII",25.98,29.08,142,"EGY"
552,"ERB69VR",8.70,38.53,164,"ETH"
553,"ERB72S",8.43,38.84,231,"ETH"
554,"ERB72VL",11.00,42.00,200,"ETH"
555,"ERB72VR1",8.70,38.70,164,"ETH"
556,"ERB72VR2",5.00,36.00,337,"ETH"
557,"Eth_HADAR01",11.10,40.61,357,"ETH"
558,"Eth_HADAR02",11.10,40.57,357,"ETH"
559,"Eth_HADAR03",11.10,40.57,357,"ETH"
560,"Eth_HADAR04",11.10,40.58,357,"ETH"
561,"Eth_HADAR05",11.10,40.58,357,"ETH"
562,"Eth_HADAR06",11.15,40.42,378,"ETH"
563,"Eth_HADAR07",9.99,40.54,380,"ETH"
564,"ETHIOP_Omop1",5.00,36.00,337,"ETH"
565,"ETHIOP_Omop2",5.00,36.00,337,"ETH"
566,"ETHIOP_Omop3",5.00,36.00,337,"ETH"
567,"ETHIOP_Omop4",5.00,36.00,337,"ETH"
568,"ETHIOP_V1",7.92,39.66,1953,"ETH"
569,"F-Bur84",-19.08,49.55,79,"MDG"
570,"FB_K3Sa",25.73,51.51,0,"QAT"
571,"FreAdj78",5.38,-3.82,0,"CIV"
572,"FTC80MJ1",13.73,16.50,306,"TCD"
573,"FTC80MJ2",13.73,16.50,306,"TCD"
574,"G-Bur84",-19.33,47.26,209,"MDG"
575,"Gb_1",1.03,13.08,32,"GAB"
576,"Gb_10",0.65,12.71,357,"GAB"
577,"Gb_11",0.65,12.71,357,"GAB"
578,"Gb_12",0.65,12.71,357,"GAB"
579,"Gb_13",0.65,12.71,357,"GAB"
580,"Gb_14",0.65,12.71,357,"GAB"
581,"Gb_15",0.65,12.71,357,"GAB"
582,"Gb_16",0.65,12.71,357,"GAB"
583,"Gb_2",0.65,12.71,357,"GAB"
584,"Gb_3",0.65,12.71,357,"GAB"
585,"Gb_4",0.65,12.71,357,"GAB"
586,"Gb_5",0.65,12.71,357,"GAB"
587,"Gb_6",0.65,12.71,357,"GAB"
588,"Gb_7",0.65,12.71,357,"GAB"
589,"Gb_8",0.65,12.71,357,"GAB"
590,"Gb_9",0.65,12.71,357,"GAB"
591,"Gb_Bengui1",-2.02,11.11,448,"GAB"
592,"Gb_Biendi1",-2.06,11.08,90,"GAB"
593,"Gb_Doubou1",-1.75,10.87,441,"GAB"
594,"Gb_Doubou2",-1.75,10.87,441,"GAB"
595,"Gb_Doubou3",-1.75,10.87,441,"GAB"
596,"Gb_Doubou4",-1.75,10.87,435,"GAB"
597,"Gb_Massou1",-2.19,11.20,87,"GAB"
598,"Gb_Sogadel1",-2.44,11.42,109,"GAB"
599,"Gb_Tchad1",-0.94,10.47,101,"GAB"
600,"Gb_Tchad2",-0.94,10.47,101,"GAB"
601,"Gb_Tchad3",-0.94,10.47,101,"GAB"
602,"Gb-04_103",0.94,12.80,352,"GAB"
603,"Gb-04_106",1.11,12.70,339,"GAB"
604,"Gb-04_107",1.05,12.74,340,"GAB"
605,"Gb-04_108",0.90,12.81,350,"GAB"
606,"Gb-04_109",0.68,12.91,353,"GAB"
607,"Gb-04_110",0.37,12.21,334,"GAB"
608,"Gb-04_111",0.33,12.05,322,"GAB"
609,"Gb-04_118",-0.20,10.46,235,"GAB"
610,"Gb-04_47",-0.17,12.25,268,"GAB"
611,"Gb-04_48",-0.17,12.25,269,"GAB"
612,"Gb-04_49",-0.17,12.25,270,"GAB"
613,"Gb-04_50",-0.17,12.25,271,"GAB"
614,"Gb-04_51",-0.18,12.54,271,"GAB"
615,"Gb-04_52",-0.18,12.54,342,"GAB"
616,"Gb-04_60",-0.19,12.55,288,"GAB"
617,"Gb-04_61",-0.18,12.55,278,"GAB"
618,"Gb-04_62",-0.18,12.55,283,"GAB"
619,"Gb-04_63",-0.18,12.55,285,"GAB"
620,"Gb-04_64",-0.17,12.53,354,"GAB"
621,"Gb-04_65",-0.18,12.54,285,"GAB"
622,"Gb-04_66",-0.18,12.54,337,"GAB"
623,"Gb-04_67",-0.18,12.54,342,"GAB"
624,"Gb-04_68",-0.18,12.55,293,"GAB"
625,"Gb-04_69",-0.18,12.55,285,"GAB"
626,"Gb-04_70",-0.17,12.54,347,"GAB"
627,"Gb-04_71",-0.17,12.53,360,"GAB"
628,"Gb-04_72",-0.17,12.53,357,"GAB"
629,"Gb-04_73",-0.17,12.53,354,"GAB"
630,"Gb-04_74",-0.18,12.54,339,"GAB"
631,"Gb-04_75",-0.18,12.54,342,"GAB"
632,"Gb-04_76",-0.17,12.53,341,"GAB"
633,"Gb-04_81",-0.17,12.54,344,"GAB"
634,"Gb-04_82",-0.18,12.55,343,"GAB"
635,"Gb-04_83",-0.17,12.53,357,"GAB"
636,"Gb-04_84",-0.16,12.51,368,"GAB"
637,"Gb-04_86",0.01,12.44,366,"GAB"
638,"Gb-04_87",0.01,12.44,366,"GAB"
639,"Gb-04_88",0.01,12.43,357,"GAB"
640,"Gb-04_89",0.02,12.40,326,"GAB"
641,"Gb-04_90",-0.01,12.35,328,"GAB"
642,"Gb-04_91",0.48,13.08,358,"GAB"
643,"Gb-04_92",0.39,13.04,363,"GAB"
644,"Gb-04_94",0.37,13.12,365,"GAB"
645,"Gb-04_95",0.33,13.17,372,"GAB"
646,"Gb-04_96",0.81,12.88,340,"GAB"
647,"Goho",6.44,2.57,0,"BEN"
648,"H-Bur85",-19.78,46.91,140,"MDG"
649,"HO54VL1",-0.15,37.10,242,"KEN"
650,"HO54VL10",0.35,29.90,301,"UGA"
651,"HO54VL11",0.35,29.89,304,"UGA"
652,"HO54VL12",0.35,29.95,304,"UGA"
653,"HO54VL13",0.35,29.85,316,"UGA"
654,"HO54VL14",0.38,29.88,333,"UGA"
655,"HO54VL2",-0.15,37.12,258,"KEN"
656,"HO54VL3",-0.15,37.22,327,"KEN"
657,"HO54VL4",-0.15,37.24,327,"KEN"
658,"HO54VL5",-0.15,37.25,330,"KEN"
659,"HO54VL6",-0.15,37.28,338,"KEN"
660,"HO54VL7",0.35,29.96,282,"UGA"
661,"HO54VL8",0.35,29.97,282,"UGA"
662,"HO54VL9",0.35,29.94,299,"UGA"
663,"I-Bur85",-19.86,46.96,110,"MDG"
664,"IS90-S15",0.85,30.15,445,"UGA"
665,"IS90-S17",0.80,30.13,445,"UGA"
666,"IS90-S19",0.83,30.16,32,"UGA"
667,"IS90-S3",0.85,30.26,430,"UGA"
668,"IS90-S30",0.83,30.26,434,"UGA"
669,"IS90-S31",0.85,30.26,434,"UGA"
670,"IS90-S35",0.83,30.26,434,"UGA"
671,"IS90-S40",0.51,30.35,74,"UGA"
672,"J-Bur85",-19.88,46.95,108,"MDG"
673,"JEDDAH-D",22.91,39.08,7,"SAU"
674,"Juniper",10.81,33.57,93,"MWI"
675,"JVC1VL",-2.27,36.13,381,"TZA"
676,"K_SI-07",29.66,47.71,55,"KWT"
677,"K_SI-08",29.65,47.71,56,"KWT"
678,"K_SI-09",29.60,47.80,54,"KWT"
679,"K_SI-10",29.43,47.73,134,"KWT"
680,"K_SI-12",29.56,48.13,0,"KWT"
681,"K_SI-14",29.13,48.13,0,"KWT"
682,"K_SI-15",28.38,47.90,224,"KWT"
683,"K_SI-18",28.35,48.45,98,"KWT"
684,"K_SI-20",28.38,48.70,3,"KWT"
685,"K-Bur85",-20.23,47.11,117,"MDG"
686,"Kam-03_V1",-9.48,33.90,397,"TZA"
687,"KARL3",3.51,35.91,78,"KEN"
688,"KARL4",0.25,35.10,453,"KEN"
689,"KARL5",-0.05,35.53,223,"KEN"
690,"KARL6",-0.15,36.43,193,"KEN"
691,"KARL7",-0.76,36.35,142,"KEN"
692,"Kasungu",-13.02,33.42,32,"MWI"
693,"Kaulime",-10.61,33.52,74,"MWI"
694,"KEN_RUC1",-0.64,36.48,198,"KEN"
695,"KEN_RUC10",-0.37,36.86,170,"KEN"
696,"KEN_RUC11",-0.37,36.87,175,"KEN"
697,"KEN_RUC12",-0.38,36.83,188,"KEN"
698,"KEN_RUC13",-0.36,36.80,203,"KEN"
699,"KEN_RUC14",-0.49,36.63,228,"KEN"
700,"KEN_RUC15",-0.49,36.63,228,"KEN"
701,"KEN_RUC16",-0.38,36.80,222,"KEN"
702,"KEN_RUC17",-0.59,36.64,239,"KEN"
703,"KEN_RUC18",-0.50,36.64,241,"KEN"
704,"KEN_RUC19",-0.50,36.64,243,"KEN"
705,"KEN_RUC2",-0.62,36.51,206,"KEN"
706,"KEN_RUC20",-0.52,36.65,261,"KEN"
707,"KEN_RUC21",-0.43,36.72,252,"KEN"
708,"KEN_RUC22",-0.46,36.70,254,"KEN"
